,date,AMZN stock,isPartial
0,2012-01-01,0.92,False
1,2012-01-02,0.36,False
2,2012-01-03,0.5,False
3,2012-01-04,0.66,False
4,2012-01-05,0.8200000000000001,False
5,2012-01-06,0.68,False
6,2012-01-07,0.4,False
7,2012-01-08,0.38,False
8,2012-01-09,0.64,False
9,2012-01-10,0.64,False
10,2012-01-11,1.8800000000000001,False
11,2012-01-12,0.96,False
12,2012-01-13,1.0,False
13,2012-01-14,0.38,False
14,2012-01-15,0.38,False
15,2012-01-16,0.32,False
16,2012-01-17,0.92,False
17,2012-01-18,0.62,False
18,2012-01-19,0.32,False
19,2012-01-20,0.32,False
20,2012-01-21,0.0,False
21,2012-01-22,0.38,False
22,2012-01-23,0.62,False
23,2012-01-24,0.78,False
24,2012-01-25,0.46,False
25,2012-01-26,0.8,False
26,2012-01-27,0.32,False
27,2012-01-28,0.0,False
28,2012-01-29,0.38,False
29,2012-01-30,1.24,False
30,2012-01-31,2.0,False
0,2012-02-01,2.0,False
1,2012-02-02,1.6600000000000001,False
2,2012-02-03,1.56,False
3,2012-02-04,0.6,False
4,2012-02-05,0.4,False
5,2012-02-06,1.0,False
6,2012-02-07,0.66,False
7,2012-02-08,0.98,False
8,2012-02-09,1.0,False
9,2012-02-10,0.86,False
10,2012-02-11,0.0,False
11,2012-02-12,0.38,False
12,2012-02-13,0.48,False
13,2012-02-14,1.34,False
14,2012-02-15,1.02,False
15,2012-02-16,0.5,False
16,2012-02-17,0.52,False
17,2012-02-18,0.0,False
18,2012-02-19,0.62,False
19,2012-02-20,0.0,False
20,2012-02-21,1.04,False
21,2012-02-22,0.5,False
22,2012-02-23,0.34,False
23,2012-02-24,0.34,False
24,2012-02-25,0.4,False
25,2012-02-26,0.0,False
26,2012-02-27,0.98,False
27,2012-02-28,0.48,False
28,2012-02-29,0.5,False
0,2012-03-01,0.42,False
1,2012-03-02,0.42,False
2,2012-03-03,0.0,False
3,2012-03-04,0.0,False
4,2012-03-05,0.4,False
5,2012-03-06,1.16,False
6,2012-03-07,0.76,False
7,2012-03-08,2.0,False
8,2012-03-09,0.4,False
9,2012-03-10,0.0,False
10,2012-03-11,0.46,False
11,2012-03-12,0.38,False
12,2012-03-13,0.78,False
13,2012-03-14,0.0,False
14,2012-03-15,0.4,False
15,2012-03-16,1.22,False
16,2012-03-17,0.0,False
17,2012-03-18,0.0,False
18,2012-03-19,1.96,False
19,2012-03-20,0.38,False
20,2012-03-21,0.0,False
21,2012-03-22,0.8,False
22,2012-03-23,0.8200000000000001,False
23,2012-03-24,0.0,False
24,2012-03-25,0.48,False
25,2012-03-26,0.0,False
26,2012-03-27,1.16,False
27,2012-03-28,0.4,False
28,2012-03-29,0.8,False
29,2012-03-30,0.42,False
30,2012-03-31,0.0,False
0,2012-04-01,0.26,False
1,2012-04-02,0.42,False
2,2012-04-03,0.64,False
3,2012-04-04,0.66,False
4,2012-04-05,0.34,False
5,2012-04-06,0.24,False
6,2012-04-07,0.0,False
7,2012-04-08,0.0,False
8,2012-04-09,0.26,False
9,2012-04-10,0.32,False
10,2012-04-11,0.84,False
11,2012-04-12,0.0,False
12,2012-04-13,0.22,False
13,2012-04-14,0.26,False
14,2012-04-15,0.0,False
15,2012-04-16,0.32,False
16,2012-04-17,0.52,False
17,2012-04-18,0.32,False
18,2012-04-19,0.84,False
19,2012-04-20,0.44,False
20,2012-04-21,0.26,False
21,2012-04-22,0.38,False
22,2012-04-23,0.2,False
23,2012-04-24,0.52,False
24,2012-04-25,0.42,False
