"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","424.46","429.70","432.00","422.08","4.16M","-1.32%"
"Mar 05, 2019","430.12","431.04","433.85","428.64","2.84M","-0.59%"
"Mar 04, 2019","432.69","443.22","444.50","426.63","5.97M","-1.80%"
"Mar 01, 2019","440.62","446.01","446.01","440.19","5.12M","0.15%"
"Feb 28, 2019","439.96","438.70","441.42","437.08","5.06M","1.04%"
"Feb 27, 2019","435.44","427.17","436.33","427.15","4.60M","2.03%"
"Feb 26, 2019","426.77","426.00","429.00","424.25","2.50M","-0.02%"
"Feb 25, 2019","426.87","427.49","429.92","426.52","3.28M","0.67%"
"Feb 22, 2019","424.05","419.70","424.47","419.14","3.13M","1.55%"
"Feb 21, 2019","417.58","421.58","422.41","415.68","2.88M","-0.94%"
"Feb 20, 2019","421.55","417.14","421.84","417.11","3.99M","1.27%"
"Feb 19, 2019","416.26","415.50","417.94","414.54","3.05M","-0.41%"
"Feb 15, 2019","417.97","412.48","418.05","411.43","4.02M","1.99%"
"Feb 14, 2019","409.82","408.93","412.22","407.80","2.72M","-0.19%"
"Feb 13, 2019","410.58","412.52","412.72","407.67","3.08M","-0.03%"
"Feb 12, 2019","410.72","407.00","411.21","405.39","3.26M","1.68%"
"Feb 11, 2019","403.95","408.10","409.83","402.69","3.05M","-0.24%"
"Feb 08, 2019","404.91","400.00","404.96","397.80","4.57M","-0.06%"
"Feb 07, 2019","405.17","407.93","410.35","402.29","5.21M","-1.44%"
"Feb 06, 2019","411.11","411.51","413.88","405.66","5.36M","0.23%"
"Feb 05, 2019","410.18","400.75","410.75","399.55","7.23M","3.32%"
"Feb 04, 2019","397.00","388.97","397.07","388.12","4.26M","2.47%"
"Feb 01, 2019","387.43","386.11","392.80","384.73","5.63M","0.47%"
"Jan 31, 2019","385.62","387.16","388.99","382.08","6.88M","-0.54%"
"Jan 30, 2019","387.72","387.40","391.97","380.50","12.71M","6.25%"
"Jan 29, 2019","364.91","363.07","367.78","362.41","3.20M","0.53%"
"Jan 28, 2019","362.97","360.65","363.17","357.50","3.13M","-0.34%"
"Jan 25, 2019","364.20","362.49","366.94","360.33","3.19M","1.66%"
"Jan 24, 2019","358.27","358.91","363.18","356.90","2.80M","-0.09%"
"Jan 23, 2019","358.61","361.91","362.20","353.67","2.92M","0.20%"
"Jan 22, 2019","357.90","362.86","364.19","354.23","4.34M","-1.87%"
"Jan 18, 2019","364.73","363.88","367.32","361.32","4.26M","1.57%"
"Jan 17, 2019","359.09","350.75","363.83","350.73","4.27M","2.00%"
"Jan 16, 2019","352.06","352.50","355.00","351.56","2.73M","-0.05%"
"Jan 15, 2019","352.24","352.00","353.31","347.98","2.94M","0.54%"
"Jan 14, 2019","350.36","348.20","352.81","347.01","2.48M","-0.72%"
"Jan 11, 2019","352.90","348.56","354.36","348.09","3.16M","0.08%"
"Jan 10, 2019","352.61","346.51","353.47","343.00","5.36M","2.55%"
"Jan 09, 2019","343.83","342.96","347.20","340.87","4.21M","0.97%"
"Jan 08, 2019","340.53","334.11","341.25","332.65","4.74M","3.79%"
"Jan 07, 2019","328.11","330.52","330.69","323.35","4.03M","0.31%"
