,date,FB stock,isPartial
0,2012-01-01,0.3,False
1,2012-01-02,0.47000000000000003,False
2,2012-01-03,0.0,False
3,2012-01-04,0.21,False
4,2012-01-05,0.22,False
5,2012-01-06,0.45,False
6,2012-01-07,0.26,False
7,2012-01-08,0.0,False
8,2012-01-09,0.0,False
9,2012-01-10,0.0,False
10,2012-01-11,0.21,False
11,2012-01-12,0.42,False
12,2012-01-13,0.43,False
13,2012-01-14,0.25,False
14,2012-01-15,0.0,False
15,2012-01-16,0.41000000000000003,False
16,2012-01-17,0.0,False
17,2012-01-18,0.0,False
18,2012-01-19,0.21,False
19,2012-01-20,0.43,False
20,2012-01-21,0.0,False
21,2012-01-22,0.0,False
22,2012-01-23,0.2,False
23,2012-01-24,0.0,False
24,2012-01-25,0.21,False
25,2012-01-26,0.42,False
26,2012-01-27,0.21,False
27,2012-01-28,1.0,False
28,2012-01-29,0.0,False
29,2012-01-30,0.61,False
30,2012-01-31,0.6,False
0,2012-02-01,2.12,False
1,2012-02-02,4.0,False
2,2012-02-03,2.2800000000000002,False
3,2012-02-04,1.0,False
4,2012-02-05,0.76,False
5,2012-02-06,1.16,False
6,2012-02-07,0.56,False
7,2012-02-08,0.72,False
8,2012-02-09,0.48,False
9,2012-02-10,0.44,False
10,2012-02-11,0.2,False
11,2012-02-12,0.24,False
12,2012-02-13,0.44,False
13,2012-02-14,0.56,False
14,2012-02-15,0.32,False
15,2012-02-16,0.4,False
16,2012-02-17,0.24,False
17,2012-02-18,0.4,False
18,2012-02-19,0.12,False
19,2012-02-20,0.28,False
20,2012-02-21,0.32,False
21,2012-02-22,0.0,False
22,2012-02-23,0.4,False
23,2012-02-24,0.12,False
24,2012-02-25,0.12,False
25,2012-02-26,0.4,False
26,2012-02-27,0.48,False
27,2012-02-28,0.44,False
28,2012-02-29,0.28,False
0,2012-03-01,0.53,False
1,2012-03-02,0.77,False
2,2012-03-03,0.38,False
3,2012-03-04,0.37,False
4,2012-03-05,0.53,False
5,2012-03-06,0.5,False
6,2012-03-07,0.7000000000000001,False
7,2012-03-08,0.41000000000000003,False
8,2012-03-09,0.85,False
9,2012-03-10,0.25,False
10,2012-03-11,0.48,False
11,2012-03-12,1.0,False
12,2012-03-13,0.71,False
13,2012-03-14,0.51,False
14,2012-03-15,0.8200000000000001,False
15,2012-03-16,0.43,False
16,2012-03-17,0.0,False
17,2012-03-18,0.24,False
18,2012-03-19,0.51,False
19,2012-03-20,0.2,False
20,2012-03-21,0.41000000000000003,False
21,2012-03-22,0.21,False
22,2012-03-23,0.22,False
23,2012-03-24,0.75,False
24,2012-03-25,0.5,False
25,2012-03-26,0.71,False
26,2012-03-27,0.3,False
27,2012-03-28,0.41000000000000003,False
28,2012-03-29,0.21,False
29,2012-03-30,0.44,False
30,2012-03-31,0.25,False
0,2012-04-01,0.0,False
1,2012-04-02,0.22,False
2,2012-04-03,0.42,False
3,2012-04-04,0.0,False
4,2012-04-05,0.9,False
5,2012-04-06,0.98,False
6,2012-04-07,1.06,False
7,2012-04-08,0.0,False
8,2012-04-09,2.0,False
9,2012-04-10,0.44,False
10,2012-04-11,0.42,False
11,2012-04-12,0.84,False
12,2012-04-13,0.44,False
13,2012-04-14,0.26,False
14,2012-04-15,0.5,False
15,2012-04-16,0.42,False
16,2012-04-17,0.0,False
17,2012-04-18,0.62,False
18,2012-04-19,0.0,False
19,2012-04-20,0.22,False
20,2012-04-21,0.5,False
21,2012-04-22,0.74,False
22,2012-04-23,1.02,False
23,2012-04-24,0.62,False
24,2012-04-25,0.2,False
25,2012-04-26,0.2,False
26,2012-04-27,1.32,False
27,2012-04-28,0.52,False
28,2012-04-29,0.52,False
29,2012-04-30,0.64,False
0,2012-05-01,0.0,False
1,2012-05-02,0.63,False
2,2012-05-03,0.63,False
3,2012-05-04,0.63,False
4,2012-05-05,0.0,False
5,2012-05-06,0.63,False
6,2012-05-07,0.63,False
7,2012-05-08,0.63,False
8,2012-05-09,0.63,False
9,2012-05-10,0.63,False
10,2012-05-11,0.0,False
11,2012-05-12,0.0,False
12,2012-05-13,0.63,False
13,2012-05-14,1.26,False
14,2012-05-15,1.8900000000000001,False
15,2012-05-16,3.15,False
16,2012-05-17,4.41,False
17,2012-05-18,63.0,False
18,2012-05-19,17.64,False
19,2012-05-20,6.3,False
20,2012-05-21,30.240000000000002,False
21,2012-05-22,37.8,False
22,2012-05-23,39.06,False
23,2012-05-24,25.830000000000002,False
24,2012-05-25,26.46,False
25,2012-05-26,8.82,False
26,2012-05-27,4.41,False
27,2012-05-28,4.41,False
28,2012-05-29,17.64,False
29,2012-05-30,18.9,False
30,2012-05-31,18.9,False
0,2012-06-01,37.0,False
1,2012-06-02,15.17,False
2,2012-06-03,8.14,False
3,2012-06-04,25.53,False
4,2012-06-05,31.08,False
5,2012-06-06,26.27,False
6,2012-06-07,22.57,False
7,2012-06-08,18.5,False
8,2012-06-09,7.77,False
9,2012-06-10,5.92,False
10,2012-06-11,14.8,False
11,2012-06-12,19.24,False
12,2012-06-13,13.32,False
13,2012-06-14,11.84,False
14,2012-06-15,14.06,False
15,2012-06-16,5.55,False
16,2012-06-17,3.33,False
17,2012-06-18,14.06,False
18,2012-06-19,15.17,False
19,2012-06-20,13.69,False
20,2012-06-21,12.209999999999999,False
21,2012-06-22,10.73,False
22,2012-06-23,4.4399999999999995,False
23,2012-06-24,4.07,False
24,2012-06-25,11.47,False
25,2012-06-26,11.84,False
26,2012-06-27,8.879999999999999,False
27,2012-06-28,12.95,False
28,2012-06-29,11.1,False
29,2012-06-30,4.81,False
0,2012-07-01,1.9,False
1,2012-07-02,6.65,False
2,2012-07-03,7.6,False
3,2012-07-04,2.85,False
4,2012-07-05,5.51,False
5,2012-07-06,6.2700000000000005,False
6,2012-07-07,5.7,False
7,2012-07-08,1.9,False
8,2012-07-09,5.32,False
9,2012-07-10,5.7,False
10,2012-07-11,7.03,False
11,2012-07-12,7.79,False
12,2012-07-13,5.89,False
13,2012-07-14,2.85,False
14,2012-07-15,3.8,False
15,2012-07-16,3.8,False
16,2012-07-17,8.36,False
17,2012-07-18,5.7,False
18,2012-07-19,6.46,False
19,2012-07-20,5.32,False
20,2012-07-21,3.04,False
21,2012-07-22,0.76,False
22,2012-07-23,6.08,False
23,2012-07-24,6.84,False
24,2012-07-25,5.7,False
25,2012-07-26,16.53,False
26,2012-07-27,19.0,False
27,2012-07-28,7.6,False
28,2012-07-29,4.18,False
29,2012-07-30,11.21,False
30,2012-07-31,7.6,False
0,2012-08-01,22.25,False
1,2012-08-02,24.25,False
2,2012-08-03,23.0,False
3,2012-08-04,8.5,False
4,2012-08-05,6.0,False
5,2012-08-06,14.25,False
6,2012-08-07,18.25,False
7,2012-08-08,11.25,False
8,2012-08-09,15.0,False
9,2012-08-10,15.5,False
10,2012-08-11,9.25,False
11,2012-08-12,2.25,False
12,2012-08-13,13.75,False
13,2012-08-14,15.5,False
14,2012-08-15,18.0,False
15,2012-08-16,25.0,False
16,2012-08-17,25.0,False
17,2012-08-18,10.5,False
18,2012-08-19,8.75,False
19,2012-08-20,15.5,False
20,2012-08-21,21.25,False
21,2012-08-22,13.25,False
22,2012-08-23,17.25,False
23,2012-08-24,21.0,False
24,2012-08-25,7.25,False
25,2012-08-26,5.25,False
26,2012-08-27,11.75,False
27,2012-08-28,10.75,False
28,2012-08-29,13.0,False
29,2012-08-30,12.5,False
30,2012-08-31,10.0,False
0,2012-09-01,7.199999999999999,False
1,2012-09-02,3.2399999999999998,False
2,2012-09-03,3.5999999999999996,False
3,2012-09-04,9.36,False
4,2012-09-05,13.68,False
5,2012-09-06,9.0,False
6,2012-09-07,8.82,False
7,2012-09-08,4.32,False
8,2012-09-09,3.2399999999999998,False
9,2012-09-10,7.92,False
10,2012-09-11,10.08,False
11,2012-09-12,18.0,False
12,2012-09-13,12.059999999999999,False
13,2012-09-14,9.54,False
14,2012-09-15,4.5,False
15,2012-09-16,2.88,False
16,2012-09-17,7.38,False
17,2012-09-18,9.54,False
