,date,GILD stock,isPartial
0,2012-01-01,0.0,False
1,2012-01-02,1.5,False
2,2012-01-03,0.0,False
3,2012-01-04,1.4000000000000001,False
4,2012-01-05,1.42,False
5,2012-01-06,0.0,False
6,2012-01-07,0.0,False
7,2012-01-08,0.0,False
8,2012-01-09,0.0,False
9,2012-01-10,1.34,False
10,2012-01-11,1.36,False
11,2012-01-12,1.3800000000000001,False
12,2012-01-13,0.0,False
13,2012-01-14,0.0,False
14,2012-01-15,0.0,False
15,2012-01-16,1.34,False
16,2012-01-17,2.0,False
17,2012-01-18,1.32,False
18,2012-01-19,0.0,False
19,2012-01-20,0.0,False
20,2012-01-21,0.0,False
21,2012-01-22,0.0,False
22,2012-01-23,0.0,False
23,2012-01-24,0.0,False
24,2012-01-25,0.0,False
25,2012-01-26,1.36,False
26,2012-01-27,1.3800000000000001,False
27,2012-01-28,1.62,False
28,2012-01-29,0.0,False
29,2012-01-30,1.3,False
30,2012-01-31,0.0,False
0,2012-02-01,0.0,False
1,2012-02-02,0.0,False
2,2012-02-03,1.96,False
3,2012-02-04,2.2800000000000002,False
4,2012-02-05,0.0,False
5,2012-02-06,0.0,False
6,2012-02-07,1.8800000000000001,False
7,2012-02-08,0.0,False
8,2012-02-09,1.8800000000000001,False
9,2012-02-10,1.96,False
10,2012-02-11,0.0,False
11,2012-02-12,2.2,False
12,2012-02-13,0.0,False
13,2012-02-14,1.8800000000000001,False
14,2012-02-15,2.84,False
15,2012-02-16,0.0,False
16,2012-02-17,4.0,False
17,2012-02-18,2.32,False
18,2012-02-19,0.0,False
19,2012-02-20,0.0,False
20,2012-02-21,3.92,False
21,2012-02-22,1.92,False
22,2012-02-23,3.84,False
23,2012-02-24,0.0,False
24,2012-02-25,0.0,False
25,2012-02-26,0.0,False
26,2012-02-27,3.7600000000000002,False
27,2012-02-28,1.84,False
28,2012-02-29,3.7600000000000002,False
0,2012-03-01,0.0,False
1,2012-03-02,3.0,False
2,2012-03-03,0.0,False
3,2012-03-04,0.0,False
4,2012-03-05,0.9299999999999999,False
5,2012-03-06,0.0,False
6,2012-03-07,0.0,False
7,2012-03-08,0.0,False
8,2012-03-09,0.96,False
9,2012-03-10,0.0,False
10,2012-03-11,0.0,False
11,2012-03-12,0.0,False
12,2012-03-13,0.8999999999999999,False
13,2012-03-14,0.8999999999999999,False
14,2012-03-15,0.8999999999999999,False
15,2012-03-16,0.96,False
16,2012-03-17,0.0,False
17,2012-03-18,0.0,False
18,2012-03-19,0.8999999999999999,False
19,2012-03-20,0.8999999999999999,False
20,2012-03-21,0.0,False
21,2012-03-22,0.0,False
22,2012-03-23,0.0,False
23,2012-03-24,0.0,False
24,2012-03-25,0.0,False
25,2012-03-26,0.8999999999999999,False
26,2012-03-27,0.0,False
27,2012-03-28,0.8999999999999999,False
28,2012-03-29,0.9299999999999999,False
29,2012-03-30,0.0,False
30,2012-03-31,0.0,False
0,2012-04-01,0.0,False
1,2012-04-02,0.0,False
2,2012-04-03,2.0,False
3,2012-04-04,0.0,False
4,2012-04-05,0.0,False
5,2012-04-06,0.0,False
6,2012-04-07,0.0,False
7,2012-04-08,1.7,False
8,2012-04-09,0.0,False
9,2012-04-10,1.36,False
10,2012-04-11,1.3,False
11,2012-04-12,0.0,False
12,2012-04-13,0.0,False
13,2012-04-14,1.58,False
14,2012-04-15,0.0,False
15,2012-04-16,0.0,False
16,2012-04-17,0.0,False
17,2012-04-18,1.3,False
18,2012-04-19,1.98,False
19,2012-04-20,1.3800000000000001,False
20,2012-04-21,1.58,False
21,2012-04-22,0.0,False
22,2012-04-23,0.0,False
23,2012-04-24,1.3,False
24,2012-04-25,1.3,False
25,2012-04-26,0.0,False
26,2012-04-27,1.3800000000000001,False
27,2012-04-28,0.0,False
28,2012-04-29,1.6,False
29,2012-04-30,0.0,False
0,2012-05-01,2.2,False
1,2012-05-02,0.0,False
2,2012-05-03,2.0,False
3,2012-05-04,0.0,False
4,2012-05-05,0.0,False
5,2012-05-06,0.0,False
6,2012-05-07,0.0,False
7,2012-05-08,0.0,False
8,2012-05-09,1.96,False
9,2012-05-10,0.0,False
10,2012-05-11,2.12,False
11,2012-05-12,2.48,False
12,2012-05-13,0.0,False
13,2012-05-14,3.92,False
14,2012-05-15,0.0,False
15,2012-05-16,0.0,False
16,2012-05-17,0.0,False
17,2012-05-18,0.0,False
18,2012-05-19,2.48,False
19,2012-05-20,0.0,False
20,2012-05-21,0.0,False
21,2012-05-22,0.0,False
22,2012-05-23,0.0,False
23,2012-05-24,4.0,False
24,2012-05-25,2.12,False
25,2012-05-26,0.0,False
26,2012-05-27,0.0,False
27,2012-05-28,0.0,False
28,2012-05-29,0.0,False
29,2012-05-30,1.96,False
30,2012-05-31,0.0,False
0,2012-06-01,1.02,False
1,2012-06-02,0.0,False
2,2012-06-03,1.18,False
3,2012-06-04,0.0,False
4,2012-06-05,0.96,False
5,2012-06-06,0.0,False
6,2012-06-07,2.0,False
7,2012-06-08,0.0,False
8,2012-06-09,1.18,False
9,2012-06-10,0.0,False
10,2012-06-11,0.0,False
11,2012-06-12,0.0,False
12,2012-06-13,0.0,False
13,2012-06-14,0.0,False
14,2012-06-15,0.0,False
15,2012-06-16,1.2,False
16,2012-06-17,1.2,False
17,2012-06-18,0.0,False
18,2012-06-19,0.0,False
19,2012-06-20,0.0,False
20,2012-06-21,0.0,False
21,2012-06-22,1.04,False
22,2012-06-23,0.0,False
23,2012-06-24,0.0,False
24,2012-06-25,0.96,False
25,2012-06-26,0.0,False
26,2012-06-27,0.98,False
27,2012-06-28,1.0,False
28,2012-06-29,0.0,False
29,2012-06-30,1.24,False
0,2012-07-01,0.0,False
1,2012-07-02,0.0,False
2,2012-07-03,1.32,False
3,2012-07-04,0.0,False
4,2012-07-05,0.0,False
5,2012-07-06,1.4000000000000001,False
6,2012-07-07,0.0,False
7,2012-07-08,0.0,False
8,2012-07-09,0.0,False
9,2012-07-10,1.32,False
10,2012-07-11,0.0,False
11,2012-07-12,0.0,False
12,2012-07-13,0.0,False
13,2012-07-14,0.0,False
14,2012-07-15,0.0,False
15,2012-07-16,1.32,False
16,2012-07-17,1.32,False
17,2012-07-18,4.0,False
18,2012-07-19,0.0,False
19,2012-07-20,0.0,False
20,2012-07-21,0.0,False
21,2012-07-22,0.0,False
22,2012-07-23,1.32,False
23,2012-07-24,0.0,False
24,2012-07-25,0.0,False
25,2012-07-26,0.0,False
26,2012-07-27,1.44,False
27,2012-07-28,1.68,False
28,2012-07-29,0.0,False
29,2012-07-30,0.0,False
30,2012-07-31,0.0,False
0,2012-08-01,0.0,False
1,2012-08-02,3.0500000000000003,False
2,2012-08-03,4.25,False
3,2012-08-04,0.0,False
4,2012-08-05,0.0,False
5,2012-08-06,0.0,False
6,2012-08-07,2.0,False
7,2012-08-08,5.0,False
8,2012-08-09,0.0,False
9,2012-08-10,2.1,False
10,2012-08-11,0.0,False
11,2012-08-12,0.0,False
12,2012-08-13,0.0,False
13,2012-08-14,3.0,False
14,2012-08-15,0.0,False
15,2012-08-16,3.0500000000000003,False
16,2012-08-17,2.15,False
17,2012-08-18,2.5,False
18,2012-08-19,2.5500000000000003,False
19,2012-08-20,2.0500000000000003,False
20,2012-08-21,2.0,False
21,2012-08-22,2.0,False
22,2012-08-23,0.0,False
23,2012-08-24,2.1,False
24,2012-08-25,0.0,False
25,2012-08-26,2.35,False
26,2012-08-27,0.0,False
27,2012-08-28,1.9000000000000001,False
28,2012-08-29,2.95,False
29,2012-08-30,0.0,False
30,2012-08-31,2.0,False
0,2012-09-01,0.0,False
1,2012-09-02,0.0,False
2,2012-09-03,0.0,False
3,2012-09-04,0.0,False
4,2012-09-05,0.0,False
5,2012-09-06,0.0,False
6,2012-09-07,0.0,False
7,2012-09-08,0.0,False
8,2012-09-09,0.0,False
9,2012-09-10,1.0,False
10,2012-09-11,0.0,False
11,2012-09-12,1.0,False
12,2012-09-13,3.0500000000000003,False
13,2012-09-14,2.15,False
14,2012-09-15,0.0,False
15,2012-09-16,1.2000000000000002,False
16,2012-09-17,0.0,False
17,2012-09-18,5.0,False
18,2012-09-19,2.0,False
19,2012-09-20,0.0,False
20,2012-09-21,0.0,False
21,2012-09-22,0.0,False
22,2012-09-23,0.0,False
