"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","83.49","84.09","84.29","83.33","904.30K","-0.57%"
"Mar 05, 2019","83.97","84.42","84.83","83.85","1.14M","-0.91%"
"Mar 04, 2019","84.74","84.88","84.90","83.91","1.17M","0.06%"
"Mar 01, 2019","84.69","84.04","85.50","84.03","1.03M","0.86%"
"Feb 28, 2019","83.97","84.08","84.81","83.80","1.42M","-0.24%"
"Feb 27, 2019","84.17","83.30","84.38","83.28","1.05M","0.62%"
"Feb 26, 2019","83.65","82.93","84.20","82.88","1.06M","0.12%"
"Feb 25, 2019","83.55","83.00","84.83","82.90","1.75M","0.58%"
"Feb 22, 2019","83.07","82.58","83.69","81.94","1.30M","0.79%"
"Feb 21, 2019","82.42","82.29","83.25","81.11","3.14M","-0.77%"
"Feb 20, 2019","83.06","75.84","83.30","75.50","8.42M","17.04%"
"Feb 19, 2019","70.97","71.83","71.83","70.86","1.29M","-0.91%"
"Feb 15, 2019","71.62","71.52","71.89","71.07","1.45M","0.32%"
"Feb 14, 2019","71.39","71.24","71.68","71.09","443.92K","-0.01%"
"Feb 13, 2019","71.40","71.76","71.80","71.02","629.93K","-0.21%"
"Feb 12, 2019","71.55","70.67","71.76","70.57","893.93K","1.42%"
"Feb 11, 2019","70.55","70.11","70.77","70.06","710.68K","0.41%"
"Feb 08, 2019","70.26","69.44","70.46","69.44","867.26K","0.98%"
"Feb 07, 2019","69.58","69.05","69.59","69.04","794.31K","-0.27%"
"Feb 06, 2019","69.77","69.60","70.16","69.29","756.83K","0.19%"
"Feb 05, 2019","69.64","69.70","70.00","69.44","828.25K","0.10%"
"Feb 04, 2019","69.57","69.23","69.57","68.91","676.69K","0.33%"
"Feb 01, 2019","69.34","69.54","69.58","68.87","825.65K","0.23%"
"Jan 31, 2019","69.18","69.14","69.55","68.01","2.59M","0.12%"
"Jan 30, 2019","69.10","68.85","69.35","68.22","785.55K","0.61%"
"Jan 29, 2019","68.68","67.79","68.87","67.51","944.85K","1.55%"
"Jan 28, 2019","67.63","68.06","68.09","67.05","1.22M","-1.39%"
"Jan 25, 2019","68.58","68.40","68.81","68.16","759.89K","0.82%"
"Jan 24, 2019","68.02","67.63","68.16","67.32","649.35K","0.56%"
"Jan 23, 2019","67.64","67.54","67.81","66.63","961.57K","0.37%"
"Jan 22, 2019","67.39","67.77","68.18","66.90","648.88K","-0.75%"
"Jan 18, 2019","67.90","67.45","68.46","66.98","996.21K","1.28%"
"Jan 17, 2019","67.04","66.92","67.35","66.46","835.68K","0.54%"
"Jan 16, 2019","66.68","66.23","66.95","66.09","795.84K","0.63%"
"Jan 15, 2019","66.26","65.87","66.35","65.84","567.16K","0.76%"
"Jan 14, 2019","65.76","66.42","66.63","65.01","790.66K","-1.22%"
"Jan 11, 2019","66.57","65.64","66.60","65.34","627.95K","0.79%"
"Jan 10, 2019","66.05","65.21","66.06","65.00","546.50K","0.56%"
"Jan 09, 2019","65.68","64.81","66.04","64.50","956.52K","1.39%"
"Jan 08, 2019","64.78","64.75","64.99","63.99","802.44K","0.93%"
"Jan 07, 2019","64.18","63.71","64.58","63.52","877.16K","0.72%"
"Jan 04, 2019","63.72","62.01","64.04","61.50","903.31K","3.80%"
"Jan 03, 2019","61.39","62.31","62.40","61.18","855.58K","-1.81%"
"Jan 02, 2019","62.52","62.20","63.07","61.58","844.05K","-1.26%"
"Dec 31, 2018","63.32","63.04","63.65","62.67","688.12K","0.80%"
"Dec 28, 2018","62.82","63.00","63.49","62.53","559.40K","-0.22%"
"Dec 27, 2018","62.96","61.57","62.97","61.01","693.99K","1.22%"
"Dec 26, 2018","62.20","61.11","62.25","59.98","899.13K","2.73%"
"Dec 24, 2018","60.55","61.17","61.56","60.29","587.34K","-1.27%"
"Dec 21, 2018","61.33","62.37","63.40","61.21","1.49M","-1.27%"
"Dec 20, 2018","62.12","61.99","62.62","61.12","1.11M","-0.10%"
"Dec 19, 2018","62.18","63.45","64.26","62.07","1.56M","-2.17%"
"Dec 18, 2018","63.56","63.40","64.21","63.23","1.07M","0.71%"
"Dec 17, 2018","63.11","64.23","64.90","62.91","1.14M","-3.12%"
"Dec 14, 2018","65.14","65.82","66.03","64.83","652.06K","-1.45%"
"Dec 13, 2018","66.10","65.79","66.57","65.66","694.26K","-0.26%"
"Dec 12, 2018","66.27","66.09","66.74","65.72","871.55K","1.35%"
"Dec 11, 2018","65.39","65.75","66.27","65.14","866.39K","0.71%"
"Dec 10, 2018","64.93","64.74","65.08","63.45","849.64K","0.39%"
"Dec 07, 2018","64.68","65.04","65.40","64.47","982.55K","-0.54%"
"Dec 06, 2018","65.03","66.10","66.10","63.72","1.76M","-2.06%"
"Dec 04, 2018","66.40","68.71","68.71","66.17","1.37M","-3.16%"
"Dec 03, 2018","68.57","67.31","68.60","66.80","1.18M","2.87%"
