"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","194.74","195.90","197.56","194.53","2.25M","-0.64%"
"Mar 05, 2019","196.00","195.85","196.18","193.00","2.34M","0.01%"
"Mar 04, 2019","195.98","198.81","200.83","194.15","2.68M","-1.12%"
"Mar 01, 2019","198.20","198.75","201.44","197.43","2.58M","0.76%"
"Feb 28, 2019","196.70","198.04","198.40","196.01","2.96M","-0.71%"
"Feb 27, 2019","198.10","198.50","199.89","197.12","1.80M","-0.40%"
"Feb 26, 2019","198.90","198.47","200.56","196.55","2.50M","0.13%"
"Feb 25, 2019","198.65","198.00","201.50","197.71","3.03M","1.35%"
"Feb 22, 2019","196.00","196.60","197.75","195.20","2.63M","-0.18%"
"Feb 21, 2019","196.36","198.97","199.45","195.05","2.79M","-1.13%"
"Feb 20, 2019","198.60","198.73","199.30","197.51","2.27M","-0.04%"
"Feb 19, 2019","198.67","196.66","199.06","195.61","2.56M","0.09%"
"Feb 15, 2019","198.50","193.21","198.89","193.10","3.07M","3.10%"
"Feb 14, 2019","192.53","192.21","194.13","189.44","2.86M","-1.11%"
"Feb 13, 2019","194.69","195.92","198.78","194.60","2.76M","0.10%"
"Feb 12, 2019","194.49","193.05","195.65","193.00","2.39M","1.65%"
"Feb 11, 2019","191.33","192.88","193.32","191.07","2.06M","-0.18%"
"Feb 08, 2019","191.67","191.72","192.62","188.22","2.76M","-0.73%"
"Feb 07, 2019","193.07","195.28","195.88","191.05","2.95M","-1.81%"
"Feb 06, 2019","196.62","197.18","199.06","195.83","2.06M","-0.70%"
"Feb 05, 2019","198.01","198.12","199.32","196.86","2.60M","0.15%"
"Feb 04, 2019","197.72","195.80","197.76","194.79","2.40M","0.60%"
"Feb 01, 2019","196.54","198.00","199.64","196.54","3.17M","-0.74%"
"Jan 31, 2019","198.01","200.10","202.35","196.95","5.60M","-2.21%"
"Jan 30, 2019","202.48","200.90","203.29","199.65","2.77M","0.99%"
"Jan 29, 2019","200.50","199.00","201.97","197.87","2.69M","0.39%"
"Jan 28, 2019","199.72","197.99","200.07","197.10","2.37M","-0.51%"
"Jan 25, 2019","200.74","199.83","201.19","199.42","3.28M","1.49%"
"Jan 24, 2019","197.80","196.22","199.68","195.76","2.63M","0.46%"
"Jan 23, 2019","196.90","197.55","198.09","194.53","3.41M","-0.39%"
"Jan 22, 2019","197.68","200.50","201.47","195.92","4.65M","-2.40%"
"Jan 18, 2019","202.54","200.38","203.00","196.91","5.65M","1.73%"
"Jan 17, 2019","199.09","195.95","199.80","192.83","8.18M","1.02%"
"Jan 16, 2019","197.08","187.00","198.15","185.60","15.19M","9.54%"
"Jan 15, 2019","179.91","178.32","179.99","176.40","2.91M","0.67%"
"Jan 14, 2019","178.72","174.52","179.54","174.10","3.36M","1.01%"
"Jan 11, 2019","176.93","175.10","177.04","172.42","3.18M","0.53%"
"Jan 10, 2019","176.00","175.66","178.07","175.50","2.81M","-0.27%"
"Jan 09, 2019","176.47","176.10","177.69","174.91","3.32M","0.63%"
"Jan 08, 2019","175.37","177.78","178.10","172.90","2.69M","-0.37%"
"Jan 07, 2019","176.02","175.23","177.82","172.27","3.15M","0.55%"
"Jan 04, 2019","175.05","172.99","176.00","171.10","3.79M","3.27%"
"Jan 03, 2019","169.51","170.66","171.77","168.29","4.06M","-1.46%"
"Jan 02, 2019","172.03","164.33","172.25","163.35","4.00M","2.98%"
"Dec 31, 2018","167.05","163.78","167.12","163.78","4.55M","2.47%"
"Dec 28, 2018","163.03","165.64","165.95","162.02","4.11M","-1.44%"
"Dec 27, 2018","165.41","160.12","165.41","159.02","4.97M","1.52%"
"Dec 26, 2018","162.93","157.00","163.11","151.70","7.05M","4.21%"
"Dec 24, 2018","156.35","159.00","160.00","154.31","3.78M","-2.31%"
"Dec 21, 2018","160.05","168.25","169.63","159.42","8.96M","-4.96%"
"Dec 20, 2018","168.41","168.39","171.65","167.16","6.49M","-0.50%"
"Dec 19, 2018","169.25","171.59","174.85","167.60","5.32M","-1.31%"
"Dec 18, 2018","171.50","169.78","173.02","169.32","5.15M","2.08%"
"Dec 17, 2018","168.01","169.40","171.43","166.53","8.40M","-2.76%"
"Dec 14, 2018","172.77","174.34","176.26","172.37","5.08M","-1.79%"
"Dec 13, 2018","175.92","177.83","178.69","175.12","4.01M","-0.44%"
"Dec 12, 2018","176.70","178.50","180.00","176.48","3.68M","-0.06%"
"Dec 11, 2018","176.80","182.15","184.43","175.45","4.71M","-1.14%"
"Dec 10, 2018","178.83","178.60","179.84","174.68","4.53M","-0.47%"
"Dec 07, 2018","179.67","183.85","186.25","179.00","3.92M","-2.40%"
"Dec 06, 2018","184.09","181.33","184.88","180.15","5.28M","-0.12%"
"Dec 04, 2018","184.31","190.69","191.11","183.63","5.80M","-3.82%"
"Dec 03, 2018","191.63","194.00","195.66","191.62","4.02M","0.49%"
"Nov 30, 2018","190.69","190.57","191.45","188.12","6.22M","-2.13%"
"Nov 29, 2018","194.85","196.02","197.45","193.16","2.67M","-1.76%"
"Nov 28, 2018","198.35","194.84","198.45","192.23","3.76M","2.43%"
"Nov 27, 2018","193.65","193.40","194.62","191.56","2.35M","-0.36%"
"Nov 26, 2018","194.34","191.17","195.23","190.69","3.14M","2.77%"
"Nov 23, 2018","189.10","191.61","191.87","188.94","1.86M","-1.82%"
"Nov 21, 2018","192.60","192.09","195.24","191.19","4.11M","0.66%"
"Nov 20, 2018","191.34","195.10","195.89","190.34","5.51M","-3.47%"
"Nov 19, 2018","198.22","201.83","202.30","197.35","3.42M","-1.93%"
"Nov 16, 2018","202.12","202.93","204.74","200.35","2.83M","-0.80%"
"Nov 15, 2018","203.74","201.80","204.50","199.32","4.26M","0.62%"
"Nov 14, 2018","202.49","206.24","207.34","198.44","5.74M","-1.25%"
"Nov 13, 2018","205.05","204.40","209.59","202.33","6.98M","-0.49%"
"Nov 12, 2018","206.05","222.00","222.31","205.13","11.02M","-7.46%"
"Nov 09, 2018","222.65","231.69","231.69","222.30","3.72M","-3.89%"
"Nov 08, 2018","231.65","231.00","234.06","230.60","2.40M","0.16%"
"Nov 07, 2018","231.28","230.05","232.80","226.90","3.51M","1.35%"
"Nov 06, 2018","228.20","228.19","229.52","227.05","2.28M","-0.23%"
"Nov 05, 2018","228.72","228.32","231.09","226.95","2.57M","-0.42%"
"Nov 02, 2018","229.69","230.00","231.69","226.29","3.70M","1.20%"
"Nov 01, 2018","226.97","225.76","228.88","225.47","2.56M","0.71%"
"Oct 31, 2018","225.37","221.89","229.00","221.40","4.37M","2.78%"
"Oct 30, 2018","219.28","215.99","220.35","215.04","3.90M","2.23%"
"Oct 29, 2018","214.49","214.15","218.21","212.05","3.28M","1.00%"
"Oct 26, 2018","212.36","210.73","214.80","209.53","3.56M","-0.77%"
"Oct 25, 2018","214.01","211.27","215.69","210.34","3.18M","2.31%"
"Oct 24, 2018","209.18","218.14","218.93","208.40","4.15M","-4.29%"
"Oct 23, 2018","218.56","216.59","219.52","214.32","3.32M","-1.37%"
"Oct 22, 2018","221.60","226.93","228.87","221.52","2.74M","-2.36%"
"Oct 19, 2018","226.96","225.26","228.30","224.19","2.76M","0.89%"
"Oct 18, 2018","224.95","227.50","228.73","223.86","3.00M","-1.46%"
"Oct 17, 2018","228.28","220.53","228.90","220.05","4.95M","2.97%"
"Oct 16, 2018","221.70","219.35","222.00","216.30","5.92M","3.01%"
"Oct 15, 2018","215.22","214.45","217.14","213.05","3.33M","0.63%"
"Oct 12, 2018","213.87","217.00","217.98","211.46","4.16M","0.42%"
"Oct 11, 2018","212.97","214.20","216.03","210.95","6.22M","-0.89%"
"Oct 10, 2018","214.89","223.24","223.64","214.56","3.96M","-3.60%"
"Oct 09, 2018","222.91","224.99","225.12","222.53","1.86M","-1.08%"
"Oct 08, 2018","225.35","224.26","226.92","222.50","2.52M","-0.16%"
"Oct 05, 2018","225.71","228.00","228.41","224.21","1.72M","-0.78%"
"Oct 04, 2018","227.48","229.26","231.40","225.39","2.90M","-0.13%"
"Oct 03, 2018","227.78","227.75","229.77","226.58","2.57M","0.76%"
"Oct 02, 2018","226.07","225.28","226.33","223.97","2.27M","0.33%"
"Oct 01, 2018","225.33","226.22","227.59","225.00","2.45M","0.49%"
"Sep 28, 2018","224.24","225.75","227.40","223.80","3.10M","-1.54%"
"Sep 27, 2018","227.74","228.77","229.85","227.52","2.45M","-0.50%"
"Sep 26, 2018","228.88","232.96","233.00","228.24","2.37M","-1.56%"
"Sep 25, 2018","232.50","234.64","234.64","232.22","2.00M","-0.17%"
"Sep 24, 2018","232.90","234.74","235.74","232.24","2.06M","-1.04%"
"Sep 21, 2018","235.34","238.06","238.52","234.83","3.76M","-0.87%"
"Sep 20, 2018","237.40","237.00","238.51","236.03","2.50M","0.77%"
"Sep 19, 2018","235.58","229.90","236.28","229.52","3.72M","2.92%"
"Sep 18, 2018","228.89","228.35","229.40","226.57","2.50M","0.44%"
"Sep 17, 2018","227.89","229.40","230.16","227.30","1.92M","-0.59%"
"Sep 14, 2018","229.24","229.08","230.55","228.76","2.23M","0.40%"
"Sep 13, 2018","228.33","229.50","229.85","227.57","3.00M","0.08%"
"Sep 12, 2018","228.15","230.91","231.99","227.30","3.58M","-0.89%"
"Sep 11, 2018","230.21","230.67","231.65","228.66","2.72M","-0.73%"
"Sep 10, 2018","231.91","235.01","235.50","231.74","1.95M","-0.86%"
"Sep 07, 2018","233.91","235.05","235.64","232.68","1.95M","-0.26%"
"Sep 06, 2018","234.52","237.00","238.63","233.88","2.65M","-1.28%"
"Sep 05, 2018","237.56","237.01","239.45","236.17","2.09M","-0.04%"
"Sep 04, 2018","237.66","237.76","238.12","234.59","2.08M","-0.06%"
"Aug 31, 2018","237.81","238.94","239.35","237.12","1.97M","-0.66%"
"Aug 30, 2018","239.40","240.80","241.12","238.68","1.96M","-0.83%"
"Aug 29, 2018","241.40","242.05","242.79","240.31","1.91M","-0.40%"
"Aug 28, 2018","242.37","243.06","245.08","241.59","2.95M","-0.09%"
"Aug 27, 2018","242.60","236.99","243.65","236.56","4.11M","3.19%"
"Aug 24, 2018","235.11","237.36","237.80","234.70","1.95M","-0.52%"
"Aug 23, 2018","236.34","239.05","239.28","235.84","2.07M","-1.25%"
"Aug 22, 2018","239.34","237.89","239.67","237.58","1.87M","0.29%"
"Aug 21, 2018","238.65","235.29","239.53","235.29","2.44M","1.22%"
"Aug 20, 2018","235.78","234.13","235.97","234.07","2.60M","1.03%"
"Aug 17, 2018","233.38","232.51","233.72","231.64","2.11M","0.16%"
"Aug 16, 2018","233.00","230.67","233.29","230.45","2.44M","1.64%"
"Aug 15, 2018","229.25","229.35","231.54","228.31","3.22M","-0.14%"
"Aug 14, 2018","229.56","227.35","230.37","227.30","2.36M","1.19%"
"Aug 13, 2018","226.86","229.49","229.89","226.57","2.66M","-1.20%"
"Aug 10, 2018","229.61","230.97","231.46","228.11","3.86M","-1.78%"
"Aug 09, 2018","233.78","236.35","236.84","233.39","2.95M","-1.10%"
"Aug 08, 2018","236.37","238.12","239.16","236.23","2.52M","-0.61%"
"Aug 07, 2018","237.83","237.25","239.46","236.49","2.40M","0.81%"
"Aug 06, 2018","235.93","234.14","236.98","234.03","2.26M","0.79%"
"Aug 03, 2018","234.09","234.44","235.52","233.49","3.05M","0.04%"
"Aug 02, 2018","233.99","233.93","235.21","232.77","2.58M","-0.87%"
"Aug 01, 2018","236.04","238.50","239.40","235.78","2.51M","-0.59%"
"Jul 31, 2018","237.43","239.50","239.50","236.55","2.50M","-0.64%"
"Jul 30, 2018","238.95","238.00","239.73","236.89","2.45M","0.55%"
"Jul 27, 2018","237.64","237.96","238.80","235.99","2.00M","0.22%"
"Jul 26, 2018","237.11","237.00","238.34","236.43","1.89M","0.18%"
"Jul 25, 2018","236.69","235.01","236.85","233.95","2.17M","0.34%"
"Jul 24, 2018","235.88","234.75","237.48","234.34","2.89M","0.91%"
"Jul 23, 2018","233.76","231.80","234.86","231.72","2.79M","0.89%"
"Jul 20, 2018","231.69","229.01","232.05","228.80","2.68M","0.90%"
"Jul 19, 2018","229.63","231.11","231.99","228.98","4.64M","-0.70%"
"Jul 18, 2018","231.24","232.34","233.72","230.15","6.15M","0.10%"
"Jul 17, 2018","231.02","231.48","233.23","226.87","9.28M","-0.18%"
"Jul 16, 2018","231.44","227.20","231.44","226.74","3.27M","2.22%"
"Jul 13, 2018","226.41","226.63","228.62","223.93","2.54M","-0.36%"
"Jul 12, 2018","227.22","227.64","227.80","225.77","2.22M","0.69%"
"Jul 11, 2018","225.66","225.76","227.25","225.20","2.53M","-0.52%"
"Jul 10, 2018","226.85","228.00","228.87","225.85","2.52M","-0.50%"
"Jul 09, 2018","227.99","223.36","228.20","223.00","2.74M","2.80%"
"Jul 06, 2018","221.79","220.54","223.20","219.88","1.85M","0.48%"
"Jul 05, 2018","220.74","221.50","222.14","219.78","2.22M","0.16%"
"Jul 03, 2018","220.38","224.46","224.64","219.99","1.20M","-1.29%"
"Jul 02, 2018","223.26","219.75","223.34","218.89","1.72M","1.22%"
"Jun 29, 2018","220.57","224.40","225.17","220.45","3.40M","-1.28%"
"Jun 28, 2018","223.42","220.25","224.66","219.58","3.07M","1.47%"
"Jun 27, 2018","220.18","221.48","225.47","220.14","3.10M","-0.63%"
"Jun 26, 2018","221.58","221.78","222.80","219.12","2.69M","0.02%"
