,date,GS stock,isPartial
0,2012-01-01,7.199999999999999,False
1,2012-01-02,5.58,False
2,2012-01-03,18.0,False
3,2012-01-04,7.739999999999999,False
4,2012-01-05,5.22,False
5,2012-01-06,10.799999999999999,False
6,2012-01-07,6.12,False
7,2012-01-08,0.0,False
8,2012-01-09,5.04,False
9,2012-01-10,12.24,False
10,2012-01-11,6.66,False
11,2012-01-12,5.04,False
12,2012-01-13,12.059999999999999,False
13,2012-01-14,0.0,False
14,2012-01-15,11.52,False
15,2012-01-16,0.0,False
16,2012-01-17,14.76,False
17,2012-01-18,9.719999999999999,False
18,2012-01-19,12.24,False
19,2012-01-20,5.04,False
20,2012-01-21,5.9399999999999995,False
21,2012-01-22,5.76,False
22,2012-01-23,4.859999999999999,False
23,2012-01-24,4.859999999999999,False
24,2012-01-25,9.9,False
25,2012-01-26,7.56,False
26,2012-01-27,5.04,False
27,2012-01-28,0.0,False
28,2012-01-29,5.76,False
29,2012-01-30,4.859999999999999,False
30,2012-01-31,0.0,False
0,2012-02-01,19.0,False
1,2012-02-02,8.36,False
2,2012-02-03,6.65,False
3,2012-02-04,5.13,False
4,2012-02-05,4.94,False
5,2012-02-06,10.45,False
6,2012-02-07,8.36,False
7,2012-02-08,8.36,False
8,2012-02-09,6.2700000000000005,False
9,2012-02-10,8.74,False
10,2012-02-11,0.0,False
11,2012-02-12,4.94,False
12,2012-02-13,3.99,False
13,2012-02-14,8.36,False
14,2012-02-15,16.91,False
15,2012-02-16,8.36,False
16,2012-02-17,8.93,False
17,2012-02-18,0.0,False
18,2012-02-19,5.13,False
19,2012-02-20,8.74,False
20,2012-02-21,12.73,False
21,2012-02-22,8.36,False
22,2012-02-23,4.18,False
23,2012-02-24,0.0,False
24,2012-02-25,7.41,False
25,2012-02-26,0.0,False
26,2012-02-27,8.17,False
27,2012-02-28,8.17,False
28,2012-02-29,6.2700000000000005,False
0,2012-03-01,5.04,False
1,2012-03-02,15.54,False
2,2012-03-03,6.09,False
3,2012-03-04,0.0,False
4,2012-03-05,7.35,False
5,2012-03-06,7.14,False
6,2012-03-07,9.45,False
7,2012-03-08,9.87,False
8,2012-03-09,7.56,False
9,2012-03-10,5.88,False
10,2012-03-11,5.67,False
11,2012-03-12,6.3,False
12,2012-03-13,11.129999999999999,False
13,2012-03-14,11.969999999999999,False
14,2012-03-15,21.0,False
15,2012-03-16,11.76,False
16,2012-03-17,8.82,False
17,2012-03-18,7.56,False
18,2012-03-19,7.14,False
19,2012-03-20,4.83,False
20,2012-03-21,9.66,False
21,2012-03-22,6.51,False
22,2012-03-23,5.25,False
23,2012-03-24,0.0,False
24,2012-03-25,5.88,False
25,2012-03-26,6.3,False
26,2012-03-27,12.809999999999999,False
27,2012-03-28,7.9799999999999995,False
28,2012-03-29,9.66,False
29,2012-03-30,7.77,False
30,2012-03-31,8.61,False
0,2012-04-01,0.0,False
1,2012-04-02,11.600000000000001,False
2,2012-04-03,5.800000000000001,False
3,2012-04-04,11.8,False
4,2012-04-05,6.0,False
5,2012-04-06,6.6000000000000005,False
6,2012-04-07,0.0,False
7,2012-04-08,0.0,False
8,2012-04-09,20.0,False
9,2012-04-10,6.0,False
10,2012-04-11,5.6000000000000005,False
11,2012-04-12,11.4,False
12,2012-04-13,6.0,False
13,2012-04-14,6.800000000000001,False
14,2012-04-15,13.600000000000001,False
15,2012-04-16,8.4,False
16,2012-04-17,19.400000000000002,False
17,2012-04-18,5.6000000000000005,False
18,2012-04-19,11.4,False
19,2012-04-20,6.0,False
20,2012-04-21,0.0,False
21,2012-04-22,6.800000000000001,False
22,2012-04-23,11.0,False
23,2012-04-24,8.200000000000001,False
24,2012-04-25,5.6000000000000005,False
25,2012-04-26,8.4,False
26,2012-04-27,9.0,False
27,2012-04-28,7.0,False
28,2012-04-29,0.0,False
29,2012-04-30,8.8,False
0,2012-05-01,0.0,False
1,2012-05-02,5.78,False
2,2012-05-03,5.95,False
3,2012-05-04,9.01,False
4,2012-05-05,6.970000000000001,False
5,2012-05-06,0.0,False
6,2012-05-07,16.830000000000002,False
7,2012-05-08,0.0,False
8,2012-05-09,5.61,False
9,2012-05-10,5.78,False
10,2012-05-11,11.9,False
11,2012-05-12,6.970000000000001,False
12,2012-05-13,0.0,False
13,2012-05-14,0.0,False
14,2012-05-15,17.0,False
15,2012-05-16,11.22,False
16,2012-05-17,5.95,False
17,2012-05-18,12.24,False
18,2012-05-19,7.140000000000001,False
19,2012-05-20,14.110000000000001,False
20,2012-05-21,0.0,False
21,2012-05-22,11.22,False
22,2012-05-23,11.39,False
23,2012-05-24,14.450000000000001,False
24,2012-05-25,6.12,False
25,2012-05-26,0.0,False
26,2012-05-27,0.0,False
27,2012-05-28,5.95,False
28,2012-05-29,8.33,False
29,2012-05-30,5.61,False
30,2012-05-31,8.5,False
0,2012-06-01,9.13,False
1,2012-06-02,11.0,False
2,2012-06-03,0.0,False
3,2012-06-04,8.58,False
4,2012-06-05,8.69,False
5,2012-06-06,10.78,False
6,2012-06-07,4.4,False
7,2012-06-08,6.93,False
8,2012-06-09,0.0,False
9,2012-06-10,5.28,False
10,2012-06-11,6.49,False
11,2012-06-12,0.0,False
12,2012-06-13,4.4,False
13,2012-06-14,4.4,False
14,2012-06-15,0.0,False
15,2012-06-16,0.0,False
16,2012-06-17,5.39,False
17,2012-06-18,4.29,False
18,2012-06-19,8.58,False
19,2012-06-20,8.69,False
20,2012-06-21,4.4,False
21,2012-06-22,4.62,False
22,2012-06-23,5.5,False
23,2012-06-24,5.5,False
24,2012-06-25,4.29,False
25,2012-06-26,8.58,False
26,2012-06-27,4.4,False
27,2012-06-28,0.0,False
28,2012-06-29,0.0,False
29,2012-06-30,0.0,False
0,2012-07-01,4.64,False
1,2012-07-02,0.0,False
2,2012-07-03,3.68,False
3,2012-07-04,0.0,False
4,2012-07-05,3.84,False
5,2012-07-06,4.0,False
6,2012-07-07,0.0,False
7,2012-07-08,4.64,False
8,2012-07-09,0.0,False
9,2012-07-10,3.68,False
10,2012-07-11,3.84,False
11,2012-07-12,15.36,False
12,2012-07-13,11.68,False
13,2012-07-14,4.64,False
14,2012-07-15,4.64,False
15,2012-07-16,5.6000000000000005,False
16,2012-07-17,7.5200000000000005,False
17,2012-07-18,5.6000000000000005,False
18,2012-07-19,5.76,False
19,2012-07-20,6.08,False
20,2012-07-21,0.0,False
21,2012-07-22,14.4,False
22,2012-07-23,5.76,False
23,2012-07-24,3.84,False
24,2012-07-25,9.6,False
25,2012-07-26,7.68,False
26,2012-07-27,16.0,False
27,2012-07-28,4.8,False
28,2012-07-29,0.0,False
29,2012-07-30,14.88,False
30,2012-07-31,3.84,False
0,2012-08-01,5.9399999999999995,False
1,2012-08-02,9.0,False
2,2012-08-03,6.3,False
3,2012-08-04,0.0,False
4,2012-08-05,7.38,False
5,2012-08-06,12.059999999999999,False
6,2012-08-07,5.9399999999999995,False
7,2012-08-08,12.059999999999999,False
8,2012-08-09,6.12,False
9,2012-08-10,6.3,False
10,2012-08-11,0.0,False
11,2012-08-12,14.76,False
12,2012-08-13,6.12,False
13,2012-08-14,8.82,False
14,2012-08-15,6.12,False
15,2012-08-16,6.12,False
16,2012-08-17,0.0,False
17,2012-08-18,7.56,False
18,2012-08-19,11.52,False
19,2012-08-20,0.0,False
20,2012-08-21,18.0,False
21,2012-08-22,12.059999999999999,False
22,2012-08-23,12.059999999999999,False
23,2012-08-24,15.66,False
24,2012-08-25,0.0,False
25,2012-08-26,7.02,False
26,2012-08-27,5.76,False
27,2012-08-28,0.0,False
28,2012-08-29,5.9399999999999995,False
29,2012-08-30,5.9399999999999995,False
30,2012-08-31,6.12,False
0,2012-09-01,9.38,False
1,2012-09-02,5.460000000000001,False
2,2012-09-03,4.760000000000001,False
3,2012-09-04,8.96,False
4,2012-09-05,4.48,False
5,2012-09-06,6.16,False
6,2012-09-07,8.120000000000001,False
7,2012-09-08,5.460000000000001,False
8,2012-09-09,0.0,False
9,2012-09-10,8.96,False
10,2012-09-11,6.720000000000001,False
11,2012-09-12,8.82,False
12,2012-09-13,7.5600000000000005,False
13,2012-09-14,14.000000000000002,False
14,2012-09-15,5.460000000000001,False
15,2012-09-16,5.460000000000001,False
16,2012-09-17,8.96,False
17,2012-09-18,7.280000000000001,False
18,2012-09-19,8.82,False
19,2012-09-20,4.48,False
20,2012-09-21,0.0,False
21,2012-09-22,5.460000000000001,False
22,2012-09-23,0.0,False
23,2012-09-24,4.340000000000001,False
24,2012-09-25,6.580000000000001,False
25,2012-09-26,7.420000000000001,False
26,2012-09-27,4.48,False
27,2012-09-28,4.62,False
28,2012-09-29,5.32,False
29,2012-09-30,5.32,False
0,2012-10-01,8.32,False
1,2012-10-02,5.44,False
2,2012-10-03,8.48,False
3,2012-10-04,6.24,False
4,2012-10-05,12.8,False
5,2012-10-06,4.8,False
6,2012-10-07,4.8,False
7,2012-10-08,5.44,False
8,2012-10-09,4.0,False
9,2012-10-10,0.0,False
10,2012-10-11,4.16,False
11,2012-10-12,6.4,False
12,2012-10-13,4.96,False
13,2012-10-14,4.8,False
14,2012-10-15,5.92,False
15,2012-10-16,16.0,False
16,2012-10-17,5.28,False
17,2012-10-18,8.0,False
18,2012-10-19,6.24,False
19,2012-10-20,12.16,False
20,2012-10-21,4.8,False
21,2012-10-22,8.0,False
22,2012-10-23,4.0,False
23,2012-10-24,6.72,False
24,2012-10-25,4.16,False
25,2012-10-26,15.040000000000001,False
26,2012-10-27,4.96,False
27,2012-10-28,4.64,False
28,2012-10-29,7.84,False
29,2012-10-30,5.76,False
30,2012-10-31,4.0,False
0,2012-11-01,5.07,False
1,2012-11-02,4.55,False
2,2012-11-03,3.77,False
3,2012-11-04,7.41,False
4,2012-11-05,3.12,False
5,2012-11-06,9.23,False
6,2012-11-07,9.23,False
7,2012-11-08,4.8100000000000005,False
8,2012-11-09,3.38,False
9,2012-11-10,3.77,False
10,2012-11-11,3.77,False
11,2012-11-12,4.16,False
12,2012-11-13,5.33,False
13,2012-11-14,7.800000000000001,False
14,2012-11-15,6.5,False
15,2012-11-16,13.0,False
16,2012-11-17,3.77,False
17,2012-11-18,3.77,False
18,2012-11-19,6.24,False
19,2012-11-20,4.68,False
20,2012-11-21,6.24,False
21,2012-11-22,3.38,False
22,2012-11-23,0.0,False
23,2012-11-24,5.59,False
24,2012-11-25,3.64,False
25,2012-11-26,2.99,False
26,2012-11-27,3.12,False
27,2012-11-28,7.67,False
28,2012-11-29,10.92,False
29,2012-11-30,4.94,False
0,2012-12-01,0.0,False
1,2012-12-02,3.5999999999999996,False
2,2012-12-03,0.0,False
3,2012-12-04,3.0,False
4,2012-12-05,4.4399999999999995,False
5,2012-12-06,6.12,False
6,2012-12-07,3.2399999999999998,False
7,2012-12-08,7.4399999999999995,False
8,2012-12-09,3.5999999999999996,False
9,2012-12-10,12.0,False
10,2012-12-11,4.4399999999999995,False
11,2012-12-12,5.04,False
12,2012-12-13,3.12,False
13,2012-12-14,7.92,False
14,2012-12-15,3.5999999999999996,False
15,2012-12-16,0.0,False
16,2012-12-17,4.08,False
17,2012-12-18,3.0,False
18,2012-12-19,3.12,False
19,2012-12-20,6.24,False
20,2012-12-21,3.36,False
21,2012-12-22,7.56,False
22,2012-12-23,3.84,False
23,2012-12-24,3.84,False
24,2012-12-25,4.08,False
25,2012-12-26,5.279999999999999,False
26,2012-12-27,6.4799999999999995,False
27,2012-12-28,5.52,False
28,2012-12-29,5.52,False
29,2012-12-30,3.7199999999999998,False
30,2012-12-31,3.7199999999999998,False
0,2013-01-01,4.0,False
1,2013-01-02,0.0,False
2,2013-01-03,6.25,False
3,2013-01-04,9.75,False
4,2013-01-05,3.5,False
5,2013-01-06,3.5,False
6,2013-01-07,6.0,False
7,2013-01-08,9.0,False
8,2013-01-09,3.0,False
9,2013-01-10,3.0,False
10,2013-01-11,4.5,False
11,2013-01-12,7.0,False
12,2013-01-13,0.0,False
13,2013-01-14,5.75,False
14,2013-01-15,10.25,False
15,2013-01-16,25.0,False
16,2013-01-17,13.25,False
17,2013-01-18,12.25,False
18,2013-01-19,13.75,False
19,2013-01-20,0.0,False
20,2013-01-21,5.75,False
21,2013-01-22,8.75,False
22,2013-01-23,7.25,False
23,2013-01-24,4.5,False
24,2013-01-25,7.5,False
