"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","184.45","184.53","184.97","183.84","4.46M","0.24%"
"Mar 05, 2019","184.00","184.24","185.12","183.25","3.69M","0.10%"
"Mar 04, 2019","183.81","186.20","186.24","182.10","5.05M","-0.73%"
"Mar 01, 2019","185.17","185.82","186.56","182.86","5.48M","0.02%"
"Feb 28, 2019","185.14","183.60","185.19","183.11","8.06M","0.80%"
"Feb 27, 2019","183.67","187.90","188.50","183.21","8.77M","-2.46%"
"Feb 26, 2019","188.30","185.59","188.47","182.80","13.64M","-0.88%"
"Feb 25, 2019","189.98","192.75","193.42","189.96","6.19M","-1.25%"
"Feb 22, 2019","192.39","191.69","192.54","191.62","3.32M","0.30%"
"Feb 21, 2019","191.82","191.85","192.37","190.61","3.09M","-0.02%"
"Feb 20, 2019","191.85","192.39","192.40","191.11","3.97M","-0.25%"
"Feb 19, 2019","192.33","191.71","193.19","191.28","3.83M","-0.03%"
"Feb 15, 2019","192.39","189.87","192.62","189.05","5.00M","2.49%"
"Feb 14, 2019","187.71","187.50","188.93","186.00","2.60M","-0.37%"
"Feb 13, 2019","188.41","186.30","188.68","185.92","4.15M","1.56%"
"Feb 12, 2019","185.52","183.84","186.40","183.52","3.77M","1.42%"
"Feb 11, 2019","182.92","185.00","185.42","182.75","3.73M","-0.88%"
"Feb 08, 2019","184.54","183.05","184.58","182.72","2.79M","0.26%"
"Feb 07, 2019","184.07","183.74","184.92","182.45","2.79M","-0.35%"
"Feb 06, 2019","184.72","186.69","186.69","184.06","3.07M","-0.90%"
"Feb 05, 2019","186.39","186.89","186.99","184.69","4.14M","-0.02%"
"Feb 04, 2019","186.43","184.30","186.43","183.84","3.05M","1.12%"
"Feb 01, 2019","184.37","184.03","185.15","182.83","4.51M","0.46%"
"Jan 31, 2019","183.53","181.50","184.67","181.06","5.14M","0.74%"
"Jan 30, 2019","182.18","180.47","184.20","179.78","5.20M","1.39%"
"Jan 29, 2019","179.69","178.96","180.15","178.09","3.69M","-0.08%"
"Jan 28, 2019","179.83","178.97","179.99","177.41","4.09M","-0.32%"
"Jan 25, 2019","180.40","179.78","180.87","178.61","4.50M","1.75%"
"Jan 24, 2019","177.29","177.00","177.53","175.30","3.86M","0.23%"
"Jan 23, 2019","176.89","176.59","178.06","174.53","4.91M","-0.12%"
"Jan 22, 2019","177.11","177.49","178.60","175.36","6.27M","-1.38%"
"Jan 18, 2019","179.58","176.98","180.04","176.18","6.37M","2.69%"
"Jan 17, 2019","174.87","174.01","175.46","172.00","6.50M","-1.23%"
"Jan 16, 2019","177.04","177.09","177.93","175.86","4.08M","0.32%"
"Jan 15, 2019","176.47","176.08","177.82","175.20","5.02M","-1.31%"
"Jan 14, 2019","178.81","177.59","179.23","176.90","3.87M","-0.33%"
"Jan 11, 2019","179.41","177.93","180.26","177.12","3.29M","0.20%"
"Jan 10, 2019","179.06","178.03","179.24","176.34","3.61M","-0.37%"
"Jan 09, 2019","179.73","177.87","181.27","177.10","4.92M","1.03%"
"Jan 08, 2019","177.89","178.57","179.59","175.61","4.72M","0.48%"
"Jan 07, 2019","177.04","173.83","178.18","173.83","4.93M","1.97%"
"Jan 04, 2019","173.62","170.18","174.74","169.52","4.76M","2.97%"
"Jan 03, 2019","168.61","171.84","171.84","168.21","4.81M","-2.20%"
"Jan 02, 2019","172.41","169.71","173.18","169.05","4.24M","0.34%"
"Dec 31, 2018","171.82","171.47","173.24","170.65","4.21M","0.94%"
"Dec 28, 2018","170.22","171.22","173.12","168.60","4.55M","-0.06%"
"Dec 27, 2018","170.32","166.44","170.46","163.36","5.07M","1.21%"
