"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","45.45","45.67","45.78","45.44","14.23M","-0.33%"
"Mar 05, 2019","45.60","45.65","45.70","45.40","13.06M","-0.11%"
"Mar 04, 2019","45.65","45.53","45.67","45.30","15.97M","0.59%"
"Mar 01, 2019","45.38","45.47","45.64","45.20","16.29M","0.09%"
"Feb 28, 2019","45.34","45.12","45.61","45.11","22.53M","0.89%"
"Feb 27, 2019","44.94","44.60","45.02","44.42","17.83M","0.56%"
"Feb 26, 2019","44.69","45.10","45.14","44.66","20.46M","-0.56%"
"Feb 25, 2019","44.94","45.44","45.57","44.84","23.77M","-0.75%"
"Feb 22, 2019","45.28","45.76","45.95","45.20","24.73M","-1.26%"
"Feb 21, 2019","45.86","45.00","45.91","44.96","23.12M","1.69%"
"Feb 20, 2019","45.10","44.91","45.24","44.80","27.46M","0.60%"
"Feb 19, 2019","44.83","45.32","45.59","44.77","25.51M","-0.91%"
"Feb 15, 2019","45.24","45.90","46.26","45.20","35.70M","-0.77%"
"Feb 14, 2019","45.59","46.70","46.96","45.50","58.91M","-8.44%"
"Feb 13, 2019","49.79","49.61","49.94","49.56","12.75M","0.26%"
"Feb 12, 2019","49.66","49.69","49.80","49.46","10.98M","0.10%"
"Feb 11, 2019","49.61","49.57","49.88","49.48","9.37M","0.22%"
"Feb 08, 2019","49.50","49.37","49.50","49.11","9.81M","0.16%"
"Feb 07, 2019","49.42","49.17","49.46","49.00","10.05M","0.32%"
"Feb 06, 2019","49.26","49.21","49.36","49.02","8.69M","0.00%"
"Feb 05, 2019","49.26","49.33","49.47","49.10","12.65M","0.02%"
"Feb 04, 2019","49.25","48.70","49.45","48.54","15.11M","1.13%"
"Feb 01, 2019","48.70","48.48","48.78","48.40","19.13M","1.18%"
"Jan 31, 2019","48.13","47.85","48.78","47.47","32.18M","0.56%"
"Jan 30, 2019","47.86","47.25","47.89","47.19","12.95M","0.97%"
"Jan 29, 2019","47.40","47.20","47.63","47.13","12.00M","0.49%"
"Jan 28, 2019","47.17","47.22","47.30","46.94","9.97M","-0.42%"
"Jan 25, 2019","47.37","47.88","48.02","47.24","12.07M","-0.67%"
"Jan 24, 2019","47.69","48.11","48.11","47.38","10.27M","-1.20%"
"Jan 23, 2019","48.27","47.82","48.29","47.65","12.06M","1.15%"
"Jan 22, 2019","47.72","47.70","47.79","47.20","11.70M","0.23%"
"Jan 18, 2019","47.61","47.25","47.69","47.12","12.76M","1.17%"
"Jan 17, 2019","47.06","46.92","47.14","46.88","12.04M","0.30%"
"Jan 16, 2019","46.92","47.40","47.47","46.86","16.91M","-1.37%"
"Jan 15, 2019","47.57","46.89","47.60","46.81","11.34M","0.89%"
"Jan 14, 2019","47.15","47.25","47.40","46.99","11.51M","-0.40%"
"Jan 11, 2019","47.34","47.29","47.35","46.97","11.09M","0.57%"
"Jan 10, 2019","47.07","46.66","47.09","46.34","15.98M","1.07%"
"Jan 09, 2019","46.57","47.08","47.28","46.43","18.03M","-1.92%"
"Jan 08, 2019","47.48","47.25","47.57","47.03","15.42M","1.13%"
"Jan 07, 2019","46.95","47.57","47.75","46.90","13.14M","-1.30%"
"Jan 04, 2019","47.57","46.75","47.57","46.64","13.01M","1.99%"
"Jan 03, 2019","46.64","46.82","47.37","46.53","14.71M","-0.62%"
"Jan 02, 2019","46.93","46.94","47.22","46.55","11.60M","-0.89%"
"Dec 31, 2018","47.35","47.49","47.54","46.96","10.58M","0.32%"
"Dec 28, 2018","47.20","47.89","48.01","47.02","13.22M","-0.69%"
"Dec 27, 2018","47.53","46.74","47.55","46.03","16.97M","1.26%"
"Dec 26, 2018","46.94","45.88","46.96","45.66","14.34M","2.13%"
"Dec 24, 2018","45.96","47.62","47.87","45.83","10.73M","-3.38%"
"Dec 21, 2018","47.57","47.26","48.75","47.23","32.48M","0.06%"
"Dec 20, 2018","47.54","47.81","48.13","47.10","21.13M","-0.75%"
