"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","14.56","14.74","14.82","14.51","2.66M","-1.69%"
"Mar 05, 2019","14.81","14.92","15.09","14.79","3.26M","-0.47%"
"Mar 04, 2019","14.88","14.96","15.19","14.75","3.89M","-0.07%"
"Mar 01, 2019","14.89","14.57","15.07","14.44","4.19M","3.26%"
"Feb 28, 2019","14.42","14.55","14.65","14.26","3.84M","-0.48%"
"Feb 27, 2019","14.49","14.48","14.64","14.26","2.91M","0.76%"
"Feb 26, 2019","14.38","14.29","14.71","14.21","5.00M","2.79%"
"Feb 25, 2019","13.99","14.16","14.23","13.94","5.04M","-0.57%"
"Feb 22, 2019","14.07","14.06","14.17","13.83","4.89M","0.14%"
"Feb 21, 2019","14.05","13.63","14.08","13.41","8.14M","3.08%"
"Feb 20, 2019","13.63","13.94","13.97","13.23","9.77M","-2.71%"
"Feb 19, 2019","14.01","13.98","14.02","12.45","30.55M","1.37%"
"Feb 15, 2019","13.82","17.07","17.27","13.73","33.53M","-18.27%"
"Feb 14, 2019","16.91","16.92","17.16","16.79","6.97M","-0.94%"
"Feb 13, 2019","17.07","16.55","17.23","16.33","10.58M","3.64%"
"Feb 12, 2019","16.47","15.77","16.94","15.73","15.18M","4.64%"
"Feb 11, 2019","15.74","15.32","15.84","15.29","16.30M","3.35%"
"Feb 08, 2019","15.23","14.75","16.06","14.63","38.36M","23.22%"
"Feb 07, 2019","12.36","12.39","12.45","12.03","8.63M","-1.04%"
"Feb 06, 2019","12.49","12.36","12.66","12.26","4.30M","0.56%"
"Feb 05, 2019","12.42","12.34","12.62","12.28","3.78M","0.98%"
"Feb 04, 2019","12.30","12.18","12.71","12.13","5.17M","0.65%"
"Feb 01, 2019","12.22","11.85","12.22","11.59","4.70M","3.21%"
"Jan 31, 2019","11.84","12.29","12.33","11.81","4.79M","-3.66%"
"Jan 30, 2019","12.29","12.29","12.42","12.11","3.02M","0.24%"
"Jan 29, 2019","12.26","12.41","12.48","12.23","2.17M","-1.45%"
"Jan 28, 2019","12.44","12.31","12.57","12.18","2.35M","0.08%"
"Jan 25, 2019","12.43","12.36","12.64","12.17","5.62M","1.30%"
"Jan 24, 2019","12.27","11.83","12.39","11.82","2.95M","3.81%"
"Jan 23, 2019","11.82","12.25","12.26","11.81","2.90M","-2.96%"
"Jan 22, 2019","12.18","12.37","12.45","12.05","4.07M","-2.09%"
"Jan 18, 2019","12.44","12.71","12.76","12.32","5.41M","-1.82%"
"Jan 17, 2019","12.67","12.43","12.77","12.35","2.76M","1.36%"
"Jan 16, 2019","12.50","12.57","12.66","12.36","2.95M","-0.64%"
"Jan 15, 2019","12.58","12.36","12.64","12.32","2.55M","1.86%"
"Jan 14, 2019","12.35","12.16","12.54","12.05","2.73M","0.82%"
"Jan 11, 2019","12.25","11.86","12.31","11.72","4.24M","2.94%"
"Jan 10, 2019","11.90","11.49","11.90","11.34","3.87M","2.32%"
"Jan 09, 2019","11.63","11.74","11.85","11.26","6.04M","-0.94%"
