,date,MAT stock,isPartial
0,2012-01-01,0.0,False
1,2012-01-02,11.200000000000001,False
2,2012-01-03,10.4,False
3,2012-01-04,10.4,False
4,2012-01-05,0.0,False
5,2012-01-06,11.0,False
6,2012-01-07,12.4,False
7,2012-01-08,12.0,False
8,2012-01-09,0.0,False
9,2012-01-10,0.0,False
10,2012-01-11,0.0,False
11,2012-01-12,0.0,False
12,2012-01-13,0.0,False
13,2012-01-14,12.200000000000001,False
14,2012-01-15,11.8,False
15,2012-01-16,10.0,False
16,2012-01-17,0.0,False
17,2012-01-18,9.8,False
18,2012-01-19,20.0,False
19,2012-01-20,10.4,False
20,2012-01-21,0.0,False
21,2012-01-22,0.0,False
22,2012-01-23,9.8,False
23,2012-01-24,19.8,False
24,2012-01-25,10.0,False
25,2012-01-26,10.0,False
26,2012-01-27,10.200000000000001,False
27,2012-01-28,0.0,False
28,2012-01-29,0.0,False
29,2012-01-30,19.400000000000002,False
30,2012-01-31,0.0,False
0,2012-02-01,8.16,False
1,2012-02-02,8.16,False
2,2012-02-03,8.48,False
3,2012-02-04,0.0,False
4,2012-02-05,9.6,False
5,2012-02-06,0.0,False
6,2012-02-07,8.16,False
7,2012-02-08,8.0,False
8,2012-02-09,0.0,False
9,2012-02-10,8.48,False
10,2012-02-11,9.76,False
11,2012-02-12,0.0,False
12,2012-02-13,7.84,False
13,2012-02-14,16.0,False
14,2012-02-15,8.16,False
15,2012-02-16,8.16,False
16,2012-02-17,0.0,False
17,2012-02-18,9.92,False
18,2012-02-19,9.76,False
19,2012-02-20,0.0,False
20,2012-02-21,0.0,False
21,2012-02-22,0.0,False
22,2012-02-23,0.0,False
23,2012-02-24,8.48,False
24,2012-02-25,9.76,False
25,2012-02-26,0.0,False
26,2012-02-27,16.0,False
27,2012-02-28,8.0,False
28,2012-02-29,0.0,False
0,2012-03-01,22.36,False
1,2012-03-02,11.700000000000001,False
2,2012-03-03,0.0,False
3,2012-03-04,13.26,False
4,2012-03-05,0.0,False
5,2012-03-06,10.66,False
6,2012-03-07,14.040000000000001,False
7,2012-03-08,10.92,False
8,2012-03-09,0.0,False
9,2012-03-10,12.74,False
