"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","182.03","182.00","183.46","181.90","2.08M","0.37%"
"Mar 05, 2019","181.35","180.60","181.75","180.35","3.36M","0.42%"
"Mar 04, 2019","180.59","184.55","184.73","179.70","4.90M","-2.41%"
"Mar 01, 2019","185.05","184.59","185.65","184.07","2.69M","0.66%"
"Feb 28, 2019","183.84","182.13","183.98","182.01","3.30M","0.26%"
"Feb 27, 2019","183.36","183.07","184.06","182.84","2.26M","0.08%"
"Feb 26, 2019","183.21","183.44","183.81","182.47","2.22M","0.33%"
"Feb 25, 2019","182.61","183.93","184.71","182.41","3.09M","-0.31%"
"Feb 22, 2019","183.17","182.98","183.41","182.00","3.07M","0.20%"
"Feb 21, 2019","182.81","180.45","183.34","180.40","4.39M","1.29%"
"Feb 20, 2019","180.49","179.47","180.92","179.34","3.71M","0.69%"
"Feb 19, 2019","179.25","181.11","181.90","179.16","4.77M","-0.40%"
"Feb 15, 2019","179.97","177.28","179.98","177.01","4.65M","2.33%"
"Feb 14, 2019","175.87","173.93","176.44","173.41","4.43M","0.99%"
"Feb 13, 2019","174.15","174.00","174.66","173.75","5.28M","0.10%"
"Feb 12, 2019","173.97","174.79","175.28","173.80","4.69M","-0.17%"
"Feb 11, 2019","174.26","175.24","175.90","174.17","3.22M","-0.28%"
"Feb 08, 2019","174.75","174.77","175.47","174.40","4.05M","-0.30%"
"Feb 07, 2019","175.28","176.00","176.26","174.31","4.18M","-0.51%"
"Feb 06, 2019","176.18","177.55","177.55","175.99","3.97M","-0.78%"
"Feb 05, 2019","177.57","177.71","179.42","177.22","4.50M","0.01%"
"Feb 04, 2019","177.55","177.29","177.78","175.66","4.53M","0.47%"
"Feb 01, 2019","176.72","179.55","180.49","176.48","6.53M","-1.15%"
"Jan 31, 2019","178.78","180.25","181.85","176.87","10.44M","-1.64%"
"Jan 30, 2019","181.77","182.92","187.79","178.67","9.49M","-0.22%"
"Jan 29, 2019","182.17","183.28","183.72","180.97","3.67M","-0.78%"
"Jan 28, 2019","183.60","183.06","183.72","181.83","4.14M","-0.22%"
"Jan 25, 2019","184.00","188.77","189.42","183.93","4.41M","-1.80%"
"Jan 24, 2019","187.37","186.86","187.88","185.94","3.21M","0.69%"
"Jan 23, 2019","186.09","184.78","186.17","184.11","2.53M","0.82%"
"Jan 22, 2019","184.57","182.25","185.48","182.25","3.19M","1.10%"
"Jan 18, 2019","182.57","183.04","183.26","180.94","3.50M","0.81%"
"Jan 17, 2019","181.11","179.25","181.11","179.03","3.06M","0.98%"
