"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","19.60","20.05","20.11","19.60","10.40M","-2.24%"
"Mar 05, 2019","20.05","20.06","20.22","19.95","7.35M","-0.45%"
"Mar 04, 2019","20.14","20.18","20.37","19.84","11.14M","0.55%"
"Mar 01, 2019","20.03","20.09","20.18","19.61","10.15M","0.40%"
"Feb 28, 2019","19.95","19.58","20.28","19.57","12.91M","1.22%"
"Feb 27, 2019","19.71","19.77","19.86","19.57","6.27M","-0.86%"
"Feb 26, 2019","19.88","19.64","19.95","19.57","11.55M","0.91%"
"Feb 25, 2019","19.70","20.00","20.05","19.68","10.60M","0.25%"
"Feb 22, 2019","19.65","19.75","19.89","19.56","7.37M","0.20%"
"Feb 21, 2019","19.61","19.72","19.80","19.50","6.17M","-0.96%"
"Feb 20, 2019","19.80","19.32","19.93","19.27","12.25M","2.54%"
"Feb 19, 2019","19.31","19.05","19.44","18.91","12.04M","2.55%"
"Feb 15, 2019","18.83","19.37","19.37","18.76","12.62M","-1.88%"
"Feb 14, 2019","19.19","19.20","19.42","19.14","9.54M","-0.52%"
"Feb 13, 2019","19.29","19.53","19.71","19.23","11.68M","-0.57%"
"Feb 12, 2019","19.40","19.30","19.56","19.23","16.53M","1.84%"
"Feb 11, 2019","19.05","18.48","19.06","18.36","9.16M","3.59%"
"Feb 08, 2019","18.39","18.03","18.45","17.98","7.98M","0.33%"
"Feb 07, 2019","18.33","17.98","18.49","17.95","21.17M","-3.73%"
"Feb 06, 2019","19.04","18.90","19.17","18.85","18.24M","2.04%"
"Feb 05, 2019","18.66","18.39","18.72","18.29","7.97M","0.48%"
"Feb 04, 2019","18.57","18.46","18.63","18.25","5.05M","0.87%"
"Feb 01, 2019","18.41","18.55","18.66","18.29","7.98M","-0.65%"
"Jan 31, 2019","18.53","18.30","18.71","18.16","11.48M","0.87%"
"Jan 30, 2019","18.37","18.44","18.48","18.16","9.68M","1.32%"
"Jan 29, 2019","18.13","18.42","18.48","17.90","10.20M","-1.25%"
"Jan 28, 2019","18.36","17.94","18.57","17.80","12.98M","-1.13%"
"Jan 25, 2019","18.57","17.82","18.86","17.77","29.60M","6.11%"
"Jan 24, 2019","17.50","17.00","17.86","16.97","20.01M","4.92%"
"Jan 23, 2019","16.68","16.73","16.95","16.54","10.39M","0.12%"
"Jan 22, 2019","16.66","16.76","16.82","16.39","10.43M","-1.30%"
"Jan 18, 2019","16.88","16.68","17.25","16.53","18.50M","2.18%"
"Jan 17, 2019","16.52","16.52","16.60","16.33","12.74M","-0.72%"
"Jan 16, 2019","16.64","16.84","16.99","16.63","8.58M","-1.19%"
"Jan 15, 2019","16.84","17.05","17.27","16.79","10.15M","-1.17%"
"Jan 14, 2019","17.04","17.13","17.25","16.97","6.91M","-1.67%"
"Jan 11, 2019","17.33","17.01","17.48","16.95","15.12M","1.29%"
"Jan 10, 2019","17.11","16.98","17.20","16.79","10.67M","0.12%"
"Jan 09, 2019","17.09","16.81","17.11","16.74","7.77M","2.40%"
"Jan 08, 2019","16.69","16.81","16.89","16.43","10.64M","0.48%"
"Jan 07, 2019","16.61","16.27","16.70","16.25","8.46M","2.28%"
"Jan 04, 2019","16.24","16.13","16.38","15.99","13.83M","2.98%"
"Jan 03, 2019","15.77","16.14","16.39","15.70","13.11M","-4.42%"
"Jan 02, 2019","16.50","15.90","16.76","15.81","18.51M","1.91%"
"Dec 31, 2018","16.19","15.88","16.22","15.83","12.80M","3.45%"
"Dec 28, 2018","15.65","15.79","15.94","15.59","6.68M","-0.32%"
"Dec 27, 2018","15.70","15.26","15.71","15.18","8.73M","1.49%"
"Dec 26, 2018","15.47","14.58","15.48","14.34","9.80M","7.36%"
"Dec 24, 2018","14.41","14.77","14.84","14.40","4.34M","-3.22%"
"Dec 21, 2018","14.89","14.99","15.18","14.71","13.03M","0.27%"
"Dec 20, 2018","14.85","14.76","15.33","14.63","12.85M","0.61%"
"Dec 19, 2018","14.76","15.36","15.76","14.71","13.50M","-4.40%"
"Dec 18, 2018","15.44","15.36","15.99","15.36","12.56M","1.25%"
"Dec 17, 2018","15.25","15.29","15.50","15.10","8.72M","-0.85%"
"Dec 14, 2018","15.38","15.49","15.64","15.30","9.01M","-1.73%"
"Dec 13, 2018","15.65","15.92","16.00","15.38","20.93M","1.95%"
"Dec 12, 2018","15.35","15.58","15.90","15.34","12.82M","0.33%"
"Dec 11, 2018","15.30","15.64","15.75","15.25","7.95M","-0.33%"
"Dec 10, 2018","15.35","15.40","15.70","15.19","11.80M","-0.58%"
"Dec 07, 2018","15.44","15.93","16.08","15.32","10.76M","-4.04%"
"Dec 06, 2018","16.09","15.97","16.25","15.26","28.04M","3.81%"
"Dec 04, 2018","15.50","16.28","16.36","15.47","16.40M","-5.37%"
"Dec 03, 2018","16.38","16.53","16.72","16.32","9.41M","1.68%"
"Nov 30, 2018","16.11","15.99","16.16","15.79","10.69M","0.25%"
"Nov 29, 2018","16.07","15.97","16.31","15.88","6.81M","-0.19%"
"Nov 28, 2018","16.10","16.09","16.19","15.70","8.33M","0.50%"
"Nov 27, 2018","16.02","15.90","16.17","15.60","9.74M","0.25%"
"Nov 26, 2018","15.98","15.83","16.00","15.63","11.32M","2.11%"
"Nov 23, 2018","15.65","15.46","15.78","15.43","2.52M","-0.13%"
"Nov 21, 2018","15.67","15.52","15.79","15.39","5.39M","2.96%"
"Nov 20, 2018","15.22","14.73","15.44","14.69","9.06M","0.20%"
"Nov 19, 2018","15.19","15.87","15.90","15.14","9.25M","-4.47%"
"Nov 16, 2018","15.90","15.73","16.09","15.60","14.02M","-1.24%"
"Nov 15, 2018","16.10","15.57","16.37","15.57","12.06M","2.35%"
"Nov 14, 2018","15.73","15.93","16.09","15.59","7.70M","0.06%"
"Nov 13, 2018","15.72","15.81","16.15","15.62","12.52M","-0.44%"
"Nov 12, 2018","15.79","16.10","16.13","15.56","8.91M","-3.66%"
"Nov 09, 2018","16.39","16.50","16.52","16.18","8.86M","-1.92%"
"Nov 08, 2018","16.71","16.76","16.93","16.61","7.66M","-1.01%"
"Nov 07, 2018","16.88","17.02","17.05","16.56","8.99M","0.12%"
"Nov 06, 2018","16.86","17.09","17.27","16.73","9.41M","-1.63%"
"Nov 05, 2018","17.14","17.44","17.55","16.97","6.20M","-2.56%"
"Nov 02, 2018","17.59","17.41","17.62","16.87","10.30M","0.06%"
"Nov 01, 2018","17.58","16.44","17.66","16.44","14.17M","7.13%"
"Oct 31, 2018","16.41","16.41","16.63","16.18","9.37M","1.74%"
"Oct 30, 2018","16.13","15.50","16.14","15.48","13.10M","3.40%"
"Oct 29, 2018","15.60","15.81","16.20","15.30","12.27M","-0.51%"
"Oct 26, 2018","15.68","16.15","16.16","15.34","19.42M","-6.89%"
"Oct 25, 2018","16.84","16.90","17.16","16.75","16.52M","1.81%"
"Oct 24, 2018","16.54","17.20","17.29","16.53","12.47M","-5.70%"
"Oct 23, 2018","17.54","17.42","17.91","17.10","14.31M","-2.56%"
"Oct 22, 2018","18.00","17.91","18.08","17.41","11.77M","1.35%"
"Oct 19, 2018","17.76","18.20","18.45","17.57","8.42M","-1.82%"
"Oct 18, 2018","18.09","18.77","18.88","17.96","10.60M","-4.59%"
"Oct 17, 2018","18.96","19.07","19.10","18.38","17.45M","0.48%"
"Oct 16, 2018","18.87","18.34","19.12","18.29","20.76M","4.14%"
"Oct 15, 2018","18.12","18.13","18.48","17.97","11.88M","0.61%"
"Oct 12, 2018","18.01","18.39","18.46","17.83","13.12M","1.64%"
"Oct 11, 2018","17.72","17.41","18.56","17.18","18.10M","1.96%"
"Oct 10, 2018","17.38","18.15","18.20","17.37","15.50M","-5.90%"
"Oct 09, 2018","18.47","18.25","18.66","18.00","16.56M","0.65%"
"Oct 08, 2018","18.35","18.50","18.63","18.08","11.24M","-1.34%"
"Oct 05, 2018","18.60","19.22","19.42","18.33","10.23M","-3.53%"
"Oct 04, 2018","19.28","19.45","19.65","19.15","9.87M","-1.48%"
"Oct 03, 2018","19.57","19.50","19.62","19.14","11.30M","0.88%"
"Oct 02, 2018","19.40","19.21","19.64","19.18","12.59M","0.67%"
"Oct 01, 2018","19.27","19.39","19.48","19.11","10.93M","-0.16%"
"Sep 28, 2018","19.30","18.66","19.31","18.64","14.84M","3.15%"
"Sep 27, 2018","18.71","18.56","18.98","18.42","11.47M","1.19%"
"Sep 26, 2018","18.49","18.52","18.72","18.34","9.11M","-0.54%"
"Sep 25, 2018","18.59","18.96","18.98","18.49","9.26M","-1.54%"
"Sep 24, 2018","18.88","18.66","18.89","18.52","8.83M","0.16%"
"Sep 21, 2018","18.85","18.75","18.92","18.56","15.21M","0.00%"
"Sep 20, 2018","18.85","18.52","18.98","18.52","13.85M","2.17%"
"Sep 19, 2018","18.45","18.74","18.93","18.31","11.32M","-1.13%"
"Sep 18, 2018","18.66","18.67","18.70","18.35","11.32M","1.19%"
"Sep 17, 2018","18.44","18.72","18.87","18.36","8.62M","-2.79%"
"Sep 14, 2018","18.97","18.56","19.08","18.47","14.16M","2.32%"
"Sep 13, 2018","18.54","18.50","18.66","18.14","14.66M","1.15%"
"Sep 12, 2018","18.33","18.56","18.69","18.16","11.97M","-2.50%"
"Sep 11, 2018","18.80","18.69","19.13","18.55","15.13M","-1.21%"
"Sep 10, 2018","19.03","19.57","19.62","18.83","19.80M","-2.16%"
"Sep 07, 2018","19.45","20.90","20.90","19.28","36.02M","-0.05%"
"Sep 06, 2018","19.46","20.45","20.62","19.45","18.99M","-4.98%"
"Sep 05, 2018","20.48","20.70","20.75","20.40","9.09M","-1.06%"
"Sep 04, 2018","20.70","20.58","20.89","20.44","9.77M","0.10%"
"Aug 31, 2018","20.68","20.88","21.08","20.62","8.59M","-0.82%"
"Aug 30, 2018","20.85","21.09","21.16","20.76","5.52M","-1.04%"
"Aug 29, 2018","21.07","20.61","21.23","20.55","8.21M","2.33%"
"Aug 28, 2018","20.59","20.52","20.67","20.35","9.08M","0.49%"
"Aug 27, 2018","20.49","20.64","20.92","20.48","7.72M","0.00%"
"Aug 24, 2018","20.49","20.43","20.54","20.32","3.69M","1.24%"
"Aug 23, 2018","20.24","20.46","20.65","20.21","4.98M","-0.98%"
"Aug 22, 2018","20.44","20.21","20.55","20.12","3.59M","0.69%"
"Aug 21, 2018","20.30","19.96","20.39","19.85","7.36M","2.32%"
"Aug 20, 2018","19.84","19.90","20.09","19.48","9.11M","0.30%"
"Aug 17, 2018","19.78","20.39","20.39","19.71","12.34M","-2.42%"
"Aug 16, 2018","20.27","20.20","20.40","20.06","8.18M","0.90%"
"Aug 15, 2018","20.09","20.28","20.44","19.89","9.42M","-1.95%"
"Aug 14, 2018","20.49","20.86","20.91","20.47","7.81M","-1.44%"
"Aug 13, 2018","20.79","20.91","21.08","20.77","5.69M","-0.57%"
"Aug 10, 2018","20.91","21.15","21.34","20.81","6.19M","-3.60%"
"Aug 09, 2018","21.69","22.02","22.05","21.67","3.21M","-1.86%"
"Aug 08, 2018","22.10","22.12","22.25","21.99","4.79M","-0.32%"
"Aug 07, 2018","22.17","21.95","22.18","21.84","5.09M","1.46%"
"Aug 06, 2018","21.85","21.27","21.88","21.24","4.74M","2.25%"
"Aug 03, 2018","21.37","21.50","21.64","21.18","6.76M","-0.93%"
"Aug 02, 2018","21.57","21.00","21.57","20.97","4.60M","1.75%"
"Aug 01, 2018","21.20","21.30","21.61","21.09","8.83M","-0.52%"
"Jul 31, 2018","21.31","21.40","21.63","21.05","6.98M","0.33%"
"Jul 30, 2018","21.24","21.79","21.89","20.98","5.39M","-1.98%"
"Jul 27, 2018","21.67","22.05","22.36","21.54","9.67M","-1.77%"
"Jul 26, 2018","22.06","21.65","22.12","21.65","9.20M","1.66%"
"Jul 25, 2018","21.70","21.52","21.79","21.20","7.76M","0.70%"
"Jul 24, 2018","21.55","21.98","22.20","21.45","7.56M","-0.87%"
"Jul 23, 2018","21.74","21.71","21.90","21.34","8.08M","-0.55%"
"Jul 20, 2018","21.86","21.65","22.11","21.46","7.81M","0.69%"
"Jul 19, 2018","21.71","21.57","21.74","21.29","8.74M","0.60%"
