"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","3.32","3.43","3.49","3.32","6.51M","-4.32%"
"Mar 05, 2019","3.47","3.50","3.58","3.42","6.14M","-0.57%"
"Mar 04, 2019","3.49","3.78","3.82","3.46","9.15M","-1.97%"
"Mar 01, 2019","3.56","3.53","3.64","3.49","8.16M","2.59%"
"Feb 28, 2019","3.47","3.52","3.58","3.40","8.06M","-3.07%"
"Feb 27, 2019","3.58","3.30","3.68","3.15","10.10M","9.48%"
"Feb 26, 2019","3.27","3.32","3.36","3.26","6.65M","-0.91%"
"Feb 25, 2019","3.30","3.34","3.38","3.30","2.80M","-1.49%"
"Feb 22, 2019","3.35","3.41","3.42","3.28","4.72M","-0.59%"
"Feb 21, 2019","3.37","3.37","3.40","3.33","4.59M","0.00%"
"Feb 20, 2019","3.37","3.30","3.41","3.27","4.50M","1.81%"
"Feb 19, 2019","3.31","3.30","3.40","3.27","7.34M","-0.90%"
"Feb 15, 2019","3.34","3.33","3.41","3.28","5.52M","0.30%"
"Feb 14, 2019","3.33","3.35","3.43","3.24","7.90M","-1.19%"
"Feb 13, 2019","3.37","3.16","3.46","3.14","11.07M","6.98%"
"Feb 12, 2019","3.15","3.19","3.23","3.13","5.18M","-0.94%"
"Feb 11, 2019","3.18","3.07","3.22","3.07","2.63M","2.91%"
"Feb 08, 2019","3.09","3.10","3.16","3.09","3.15M","-1.28%"
"Feb 07, 2019","3.13","3.06","3.15","3.02","3.88M","1.29%"
"Feb 06, 2019","3.09","3.05","3.10","3.02","3.10M","1.31%"
"Feb 05, 2019","3.05","3.00","3.07","2.97","2.83M","2.35%"
"Feb 04, 2019","2.98","2.94","2.99","2.90","3.81M","1.36%"
"Feb 01, 2019","2.94","2.97","2.99","2.89","3.54M","-0.34%"
"Jan 31, 2019","2.95","2.94","2.97","2.90","4.17M","0.34%"
"Jan 30, 2019","2.94","2.95","2.98","2.89","2.68M","0.34%"
"Jan 29, 2019","2.93","2.96","3.00","2.92","3.39M","-0.34%"
"Jan 28, 2019","2.94","3.01","3.03","2.89","3.54M","-2.97%"
"Jan 25, 2019","3.03","2.99","3.05","2.96","2.33M","2.02%"
"Jan 24, 2019","2.97","2.93","2.98","2.91","2.06M","1.71%"
"Jan 23, 2019","2.92","2.93","2.96","2.85","3.51M","0.69%"
"Jan 22, 2019","2.90","2.98","3.01","2.90","3.59M","-3.01%"
"Jan 18, 2019","2.99","3.03","3.03","2.95","3.67M","-0.99%"
"Jan 17, 2019","3.02","3.00","3.05","2.93","3.43M","0.67%"
"Jan 16, 2019","3.00","2.99","3.02","2.94","4.07M","0.67%"
"Jan 15, 2019","2.98","2.98","2.99","2.91","4.60M","1.02%"
"Jan 14, 2019","2.95","2.94","2.98","2.91","5.03M","0.34%"
"Jan 11, 2019","2.94","2.94","2.96","2.88","3.39M","-0.68%"
"Jan 10, 2019","2.96","2.88","3.00","2.78","5.97M","1.72%"
"Jan 09, 2019","2.91","2.81","2.94","2.77","5.75M","3.56%"
"Jan 08, 2019","2.81","2.81","2.86","2.71","5.05M","1.08%"
"Jan 07, 2019","2.78","2.70","2.85","2.68","5.90M","2.96%"
"Jan 04, 2019","2.70","2.58","2.71","2.57","4.30M","5.88%"
"Jan 03, 2019","2.55","2.60","2.62","2.51","3.87M","-3.04%"
"Jan 02, 2019","2.63","2.52","2.67","2.50","5.07M","1.94%"
"Dec 31, 2018","2.58","2.56","2.61","2.51","4.72M","2.38%"
"Dec 28, 2018","2.52","2.45","2.57","2.42","5.67M","3.70%"
"Dec 27, 2018","2.43","2.44","2.48","2.30","3.94M","-2.41%"
"Dec 26, 2018","2.49","2.36","2.49","2.24","6.83M","6.41%"
"Dec 24, 2018","2.34","2.16","2.42","2.16","4.70M","10.38%"
"Dec 21, 2018","2.12","2.34","2.41","2.08","29.46M","-9.01%"
"Dec 20, 2018","2.33","2.55","2.57","2.32","12.72M","-8.63%"
"Dec 19, 2018","2.55","2.63","2.70","2.54","4.83M","-2.30%"
"Dec 18, 2018","2.61","2.62","2.71","2.60","5.04M","1.16%"
"Dec 17, 2018","2.58","2.76","2.78","2.55","9.00M","-6.18%"
"Dec 14, 2018","2.75","2.84","2.88","2.73","3.80M","-3.17%"
"Dec 13, 2018","2.84","2.97","2.98","2.82","5.18M","-3.40%"
"Dec 12, 2018","2.94","2.99","3.03","2.91","6.02M","0.00%"
"Dec 11, 2018","2.94","2.94","3.00","2.90","3.45M","1.73%"
"Dec 10, 2018","2.89","2.94","2.96","2.81","6.25M","-1.70%"
"Dec 07, 2018","2.94","3.12","3.12","2.91","4.88M","-5.77%"
"Dec 06, 2018","3.12","3.11","3.18","3.03","5.54M","-0.64%"
"Dec 04, 2018","3.14","3.24","3.28","3.08","5.74M","-3.38%"
"Dec 03, 2018","3.25","3.29","3.30","3.20","3.07M","0.62%"
"Nov 30, 2018","3.23","3.29","3.31","3.18","4.41M","-1.82%"
"Nov 29, 2018","3.29","3.24","3.31","3.18","3.93M","1.23%"
"Nov 28, 2018","3.25","3.23","3.31","3.21","4.82M","1.56%"
"Nov 27, 2018","3.20","3.14","3.20","3.11","4.41M","1.27%"
"Nov 26, 2018","3.16","3.10","3.21","3.10","4.31M","2.93%"
"Nov 23, 2018","3.07","3.16","3.17","3.06","1.57M","-2.85%"
"Nov 21, 2018","3.16","2.92","3.16","2.90","5.80M","8.59%"
"Nov 20, 2018","2.91","3.02","3.02","2.83","5.30M","-0.68%"
"Nov 19, 2018","2.93","3.07","3.10","2.90","4.50M","-5.48%"
"Nov 16, 2018","3.10","3.05","3.11","2.99","4.61M","0.00%"
"Nov 15, 2018","3.10","3.12","3.13","3.03","5.38M","-0.96%"
"Nov 14, 2018","3.13","3.25","3.34","3.12","5.39M","-3.69%"
"Nov 13, 2018","3.25","3.23","3.26","3.16","6.38M","1.25%"
"Nov 12, 2018","3.21","3.27","3.28","3.20","4.94M","-1.23%"
"Nov 09, 2018","3.25","3.28","3.41","3.25","12.64M","-3.56%"
"Nov 08, 2018","3.37","3.42","3.63","3.36","11.93M","-1.17%"
"Nov 07, 2018","3.41","3.00","3.49","2.98","15.25M","24.00%"
"Nov 06, 2018","2.75","2.69","2.75","2.68","3.86M","2.61%"
"Nov 05, 2018","2.68","2.70","2.73","2.64","4.12M","0.00%"
"Nov 02, 2018","2.68","2.65","2.72","2.65","4.14M","1.90%"
"Nov 01, 2018","2.63","2.59","2.65","2.56","3.27M","2.73%"
"Oct 31, 2018","2.56","2.60","2.63","2.55","4.59M","-0.78%"
"Oct 30, 2018","2.58","2.52","2.64","2.52","3.84M","1.98%"
"Oct 29, 2018","2.53","2.58","2.65","2.50","2.70M","-0.39%"
"Oct 26, 2018","2.54","2.55","2.58","2.47","3.99M","-1.55%"
"Oct 25, 2018","2.58","2.58","2.64","2.51","4.59M","1.18%"
"Oct 24, 2018","2.55","2.70","2.73","2.55","4.58M","-5.56%"
"Oct 23, 2018","2.70","2.67","2.73","2.60","3.45M","0.37%"
"Oct 22, 2018","2.69","2.68","2.71","2.63","6.81M","1.51%"
"Oct 19, 2018","2.65","2.76","2.80","2.65","4.25M","-4.68%"
"Oct 18, 2018","2.78","2.77","2.80","2.74","3.94M","0.00%"
"Oct 17, 2018","2.78","2.83","2.86","2.76","4.63M","-2.46%"
"Oct 16, 2018","2.85","2.87","2.89","2.81","5.58M","0.71%"
"Oct 15, 2018","2.83","2.83","2.88","2.79","4.00M","0.35%"
"Oct 12, 2018","2.82","2.88","2.90","2.75","3.18M","-0.35%"
"Oct 11, 2018","2.83","2.88","2.95","2.81","3.81M","-1.74%"
"Oct 10, 2018","2.88","2.95","2.98","2.88","5.92M","-2.37%"
"Oct 09, 2018","2.95","2.96","3.00","2.91","4.59M","-1.01%"
"Oct 08, 2018","2.98","2.97","3.01","2.94","4.46M","0.68%"
"Oct 05, 2018","2.96","3.00","3.07","2.92","4.92M","-1.33%"
"Oct 04, 2018","3.00","3.03","3.05","2.96","4.06M","-0.66%"
"Oct 03, 2018","3.02","3.03","3.07","2.98","5.31M","1.00%"
"Oct 02, 2018","2.99","3.14","3.16","2.97","5.66M","-4.47%"
"Oct 01, 2018","3.13","3.23","3.25","3.10","4.30M","-2.49%"
"Sep 28, 2018","3.21","3.23","3.28","3.18","4.90M","-0.62%"
"Sep 27, 2018","3.23","3.27","3.29","3.22","3.76M","-0.62%"
"Sep 26, 2018","3.25","3.24","3.31","3.21","6.36M","0.62%"
"Sep 25, 2018","3.23","3.30","3.31","3.22","5.01M","-1.52%"
"Sep 24, 2018","3.28","3.29","3.34","3.26","2.99M","-0.91%"
"Sep 21, 2018","3.31","3.30","3.37","3.28","13.61M","0.61%"
"Sep 20, 2018","3.29","3.31","3.35","3.26","4.59M","0.30%"
"Sep 19, 2018","3.28","3.31","3.37","3.28","4.93M","-1.20%"
"Sep 18, 2018","3.32","3.37","3.38","3.30","3.38M","-1.48%"
"Sep 17, 2018","3.37","3.29","3.38","3.28","6.46M","2.74%"
"Sep 14, 2018","3.28","3.18","3.31","3.16","3.67M","2.50%"
"Sep 13, 2018","3.20","3.20","3.23","3.15","2.03M","0.63%"
"Sep 12, 2018","3.18","3.16","3.20","3.08","4.41M","0.63%"
"Sep 11, 2018","3.16","3.14","3.18","3.10","4.10M","0.00%"
"Sep 10, 2018","3.16","3.34","3.34","3.13","5.14M","-4.82%"
"Sep 07, 2018","3.32","3.32","3.38","3.28","4.02M","0.00%"
"Sep 06, 2018","3.32","3.41","3.41","3.30","4.61M","-2.35%"
"Sep 05, 2018","3.40","3.38","3.41","3.35","3.81M","0.00%"
"Sep 04, 2018","3.40","3.35","3.41","3.31","4.45M","1.49%"
"Aug 31, 2018","3.35","3.29","3.35","3.25","3.29M","1.52%"
"Aug 30, 2018","3.30","3.30","3.35","3.24","4.32M","-0.30%"
"Aug 29, 2018","3.31","3.35","3.36","3.29","3.73M","-1.19%"
"Aug 28, 2018","3.35","3.34","3.36","3.27","3.88M","0.30%"
"Aug 27, 2018","3.34","3.37","3.38","3.33","4.47M","0.00%"
"Aug 24, 2018","3.34","3.36","3.36","3.29","3.25M","-0.60%"
"Aug 23, 2018","3.36","3.35","3.38","3.25","5.40M","-0.30%"
"Aug 22, 2018","3.37","3.32","3.42","3.32","4.17M","-0.59%"
"Aug 21, 2018","3.39","3.36","3.44","3.33","5.71M","1.50%"
"Aug 20, 2018","3.34","3.26","3.38","3.21","3.64M","3.09%"
"Aug 17, 2018","3.24","3.13","3.28","3.10","3.35M","3.51%"
"Aug 16, 2018","3.13","3.12","3.16","3.04","4.52M","2.62%"
"Aug 15, 2018","3.05","3.10","3.11","2.96","5.11M","-2.24%"
"Aug 14, 2018","3.12","3.00","3.12","3.00","5.80M","3.65%"
"Aug 13, 2018","3.01","3.01","3.02","2.96","3.61M","0.67%"
"Aug 10, 2018","2.99","3.02","3.06","2.96","3.29M","-1.32%"
"Aug 09, 2018","3.03","3.01","3.08","2.97","4.90M","0.00%"
"Aug 08, 2018","3.03","2.94","3.04","2.89","7.60M","5.94%"
"Aug 07, 2018","2.86","2.65","3.05","2.62","17.10M","13.49%"
"Aug 06, 2018","2.52","2.48","2.53","2.41","6.94M","1.61%"
"Aug 03, 2018","2.48","2.46","2.52","2.43","4.04M","1.64%"
"Aug 02, 2018","2.44","2.42","2.45","2.40","3.50M","0.00%"
"Aug 01, 2018","2.44","2.51","2.52","2.40","5.26M","-2.79%"
"Jul 31, 2018","2.51","2.55","2.57","2.50","5.70M","-0.79%"
"Jul 30, 2018","2.53","2.50","2.58","2.48","6.56M","1.61%"
"Jul 27, 2018","2.49","2.56","2.60","2.49","5.63M","-2.73%"
"Jul 26, 2018","2.56","2.62","2.67","2.55","6.07M","-2.66%"
"Jul 25, 2018","2.63","2.62","2.63","2.55","3.22M","0.77%"
"Jul 24, 2018","2.61","2.70","2.73","2.60","4.04M","-1.51%"
