,date,PEP stock,isPartial
0,2012-01-01,0.0,False
1,2012-01-02,12.22,False
2,2012-01-03,11.18,False
3,2012-01-04,0.0,False
4,2012-01-05,11.440000000000001,False
5,2012-01-06,11.700000000000001,False
6,2012-01-07,13.26,False
7,2012-01-08,0.0,False
8,2012-01-09,10.92,False
9,2012-01-10,10.66,False
10,2012-01-11,10.66,False
11,2012-01-12,21.84,False
12,2012-01-13,11.440000000000001,False
13,2012-01-14,0.0,False
14,2012-01-15,12.74,False
15,2012-01-16,0.0,False
16,2012-01-17,21.580000000000002,False
17,2012-01-18,21.32,False
18,2012-01-19,10.66,False
19,2012-01-20,11.18,False
20,2012-01-21,13.0,False
21,2012-01-22,0.0,False
22,2012-01-23,16.12,False
23,2012-01-24,10.66,False
24,2012-01-25,10.66,False
25,2012-01-26,14.56,False
26,2012-01-27,11.18,False
27,2012-01-28,12.74,False
28,2012-01-29,0.0,False
29,2012-01-30,17.42,False
30,2012-01-31,26.0,False
0,2012-02-01,33.18,False
1,2012-02-02,16.8,False
2,2012-02-03,17.64,False
3,2012-02-04,20.16,False
4,2012-02-05,20.16,False
5,2012-02-06,33.6,False
6,2012-02-07,33.18,False
7,2012-02-08,33.18,False
8,2012-02-09,25.2,False
9,2012-02-10,17.22,False
10,2012-02-11,20.16,False
11,2012-02-12,19.32,False
12,2012-02-13,16.38,False
13,2012-02-14,42.0,False
14,2012-02-15,16.8,False
15,2012-02-16,34.019999999999996,False
16,2012-02-17,17.64,False
17,2012-02-18,0.0,False
18,2012-02-19,20.16,False
19,2012-02-20,17.22,False
20,2012-02-21,34.44,False
21,2012-02-22,16.8,False
22,2012-02-23,33.6,False
23,2012-02-24,34.86,False
24,2012-02-25,0.0,False
25,2012-02-26,19.74,False
26,2012-02-27,24.779999999999998,False
27,2012-02-28,16.38,False
28,2012-02-29,16.38,False
0,2012-03-01,33.12,False
1,2012-03-02,39.839999999999996,False
2,2012-03-03,0.0,False
3,2012-03-04,0.0,False
4,2012-03-05,32.64,False
5,2012-03-06,38.879999999999995,False
6,2012-03-07,15.84,False
7,2012-03-08,32.16,False
8,2012-03-09,33.12,False
9,2012-03-10,0.0,False
10,2012-03-11,0.0,False
11,2012-03-12,46.559999999999995,False
12,2012-03-13,15.84,False
13,2012-03-14,41.76,False
14,2012-03-15,31.68,False
15,2012-03-16,22.08,False
16,2012-03-17,19.2,False
17,2012-03-18,47.04,False
18,2012-03-19,25.919999999999998,False
19,2012-03-20,31.2,False
20,2012-03-21,20.64,False
21,2012-03-22,39.839999999999996,False
22,2012-03-23,33.6,False
23,2012-03-24,29.279999999999998,False
24,2012-03-25,0.0,False
25,2012-03-26,15.36,False
26,2012-03-27,39.36,False
27,2012-03-28,31.68,False
28,2012-03-29,48.0,False
29,2012-03-30,16.8,False
30,2012-03-31,19.2,False
0,2012-04-01,0.0,False
1,2012-04-02,15.54,False
2,2012-04-03,11.84,False
3,2012-04-04,8.14,False
4,2012-04-05,8.14,False
5,2012-04-06,8.879999999999999,False
6,2012-04-07,9.99,False
7,2012-04-08,0.0,False
8,2012-04-09,0.0,False
9,2012-04-10,8.14,False
10,2012-04-11,7.77,False
11,2012-04-12,0.0,False
12,2012-04-13,0.0,False
13,2012-04-14,9.25,False
14,2012-04-15,9.25,False
15,2012-04-16,9.99,False
16,2012-04-17,15.17,False
17,2012-04-18,7.4,False
18,2012-04-19,7.77,False
19,2012-04-20,18.87,False
20,2012-04-21,37.0,False
21,2012-04-22,0.0,False
22,2012-04-23,19.98,False
23,2012-04-24,9.99,False
24,2012-04-25,11.47,False
25,2012-04-26,7.77,False
26,2012-04-27,24.419999999999998,False
27,2012-04-28,9.62,False
28,2012-04-29,14.06,False
29,2012-04-30,18.87,False
0,2012-05-01,13.120000000000001,False
1,2012-05-02,13.120000000000001,False
2,2012-05-03,0.0,False
3,2012-05-04,16.32,False
4,2012-05-05,0.0,False
5,2012-05-06,0.0,False
6,2012-05-07,11.84,False
7,2012-05-08,11.52,False
8,2012-05-09,8.0,False
9,2012-05-10,32.0,False
10,2012-05-11,16.64,False
11,2012-05-12,0.0,False
12,2012-05-13,9.6,False
13,2012-05-14,11.52,False
14,2012-05-15,10.24,False
15,2012-05-16,10.56,False
16,2012-05-17,12.16,False
17,2012-05-18,0.0,False
18,2012-05-19,0.0,False
19,2012-05-20,0.0,False
20,2012-05-21,7.68,False
21,2012-05-22,23.68,False
22,2012-05-23,24.0,False
23,2012-05-24,11.84,False
24,2012-05-25,16.96,False
25,2012-05-26,9.92,False
26,2012-05-27,20.16,False
27,2012-05-28,8.32,False
28,2012-05-29,7.68,False
29,2012-05-30,20.8,False
30,2012-05-31,13.120000000000001,False
0,2012-06-01,18.13,False
1,2012-06-02,14.06,False
2,2012-06-03,0.0,False
3,2012-06-04,17.02,False
4,2012-06-05,17.02,False
5,2012-06-06,11.47,False
6,2012-06-07,22.94,False
7,2012-06-08,24.05,False
8,2012-06-09,0.0,False
9,2012-06-10,28.12,False
10,2012-06-11,0.0,False
11,2012-06-12,16.65,False
12,2012-06-13,17.02,False
13,2012-06-14,22.94,False
14,2012-06-15,24.05,False
15,2012-06-16,14.06,False
16,2012-06-17,28.49,False
17,2012-06-18,0.0,False
18,2012-06-19,28.12,False
19,2012-06-20,11.47,False
20,2012-06-21,0.0,False
21,2012-06-22,12.209999999999999,False
22,2012-06-23,14.8,False
23,2012-06-24,0.0,False
24,2012-06-25,0.0,False
25,2012-06-26,11.1,False
26,2012-06-27,11.47,False
27,2012-06-28,11.47,False
28,2012-06-29,37.0,False
29,2012-06-30,0.0,False
0,2012-07-01,14.879999999999999,False
1,2012-07-02,12.09,False
2,2012-07-03,17.98,False
3,2012-07-04,12.709999999999999,False
4,2012-07-05,12.4,False
5,2012-07-06,0.0,False
6,2012-07-07,0.0,False
7,2012-07-08,0.0,False
8,2012-07-09,17.98,False
9,2012-07-10,12.09,False
10,2012-07-11,24.49,False
11,2012-07-12,18.29,False
12,2012-07-13,0.0,False
13,2012-07-14,15.19,False
14,2012-07-15,14.879999999999999,False
15,2012-07-16,12.09,False
16,2012-07-17,29.759999999999998,False
17,2012-07-18,12.09,False
18,2012-07-19,12.4,False
19,2012-07-20,12.709999999999999,False
20,2012-07-21,15.19,False
21,2012-07-22,15.19,False
22,2012-07-23,12.09,False
23,2012-07-24,16.43,False
24,2012-07-25,12.09,False
25,2012-07-26,31.0,False
26,2012-07-27,17.05,False
27,2012-07-28,15.19,False
28,2012-07-29,22.32,False
29,2012-07-30,12.09,False
30,2012-07-31,12.09,False
0,2012-08-01,7.82,False
1,2012-08-02,15.870000000000001,False
2,2012-08-03,8.280000000000001,False
3,2012-08-04,9.66,False
4,2012-08-05,0.0,False
5,2012-08-06,23.0,False
6,2012-08-07,7.82,False
7,2012-08-08,15.41,False
8,2012-08-09,0.0,False
9,2012-08-10,16.330000000000002,False
10,2012-08-11,9.66,False
11,2012-08-12,0.0,False
12,2012-08-13,7.82,False
13,2012-08-14,7.590000000000001,False
14,2012-08-15,8.05,False
15,2012-08-16,7.82,False
16,2012-08-17,16.560000000000002,False
17,2012-08-18,9.89,False
18,2012-08-19,9.89,False
19,2012-08-20,8.05,False
20,2012-08-21,7.82,False
21,2012-08-22,7.82,False
22,2012-08-23,0.0,False
23,2012-08-24,12.190000000000001,False
24,2012-08-25,9.43,False
25,2012-08-26,0.0,False
26,2012-08-27,15.180000000000001,False
27,2012-08-28,0.0,False
28,2012-08-29,7.590000000000001,False
29,2012-08-30,7.590000000000001,False
30,2012-08-31,0.0,False
0,2012-09-01,13.8,False
