"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","41.86","42.82","42.87","41.62","21.26M","-2.40%"
"Mar 05, 2019","42.89","43.09","43.25","42.85","25.17M","-0.42%"
"Mar 04, 2019","43.07","43.44","43.59","42.88","21.64M","-0.67%"
"Mar 01, 2019","43.36","43.61","43.79","43.29","25.30M","0.02%"
"Feb 28, 2019","43.35","42.95","43.78","42.87","37.00M","0.98%"
"Feb 27, 2019","42.93","42.98","43.22","42.81","15.63M","-0.21%"
"Feb 26, 2019","43.02","42.96","43.23","42.80","15.70M","-0.14%"
"Feb 25, 2019","43.08","43.04","43.37","42.94","23.98M","0.28%"
"Feb 22, 2019","42.96","42.30","43.12","42.22","23.51M","1.95%"
"Feb 21, 2019","42.14","42.02","42.32","41.86","18.61M","-0.14%"
"Feb 20, 2019","42.20","42.53","42.56","41.93","25.95M","-0.94%"
"Feb 19, 2019","42.60","42.24","42.86","42.19","23.18M","0.47%"
"Feb 15, 2019","42.40","42.38","42.51","42.08","18.19M","1.02%"
"Feb 14, 2019","41.97","41.70","42.12","41.62","18.85M","0.65%"
"Feb 13, 2019","41.70","41.92","42.06","41.39","23.49M","-0.41%"
"Feb 12, 2019","41.87","41.71","42.01","41.39","28.98M","0.46%"
"Feb 11, 2019","41.68","42.28","42.31","41.51","25.71M","-1.30%"
"Feb 08, 2019","42.23","41.53","42.24","41.49","26.09M","1.27%"
"Feb 07, 2019","41.70","42.11","42.15","41.21","23.01M","-1.49%"
"Feb 06, 2019","42.33","41.92","42.37","41.79","15.61M","0.52%"
"Feb 05, 2019","42.11","42.43","42.73","42.06","20.05M","-0.78%"
"Feb 04, 2019","42.44","42.84","42.84","41.96","18.43M","-1.03%"
"Feb 01, 2019","42.88","42.87","43.12","42.55","25.84M","1.01%"
"Jan 31, 2019","42.45","41.38","42.62","41.35","38.83M","2.09%"
"Jan 30, 2019","41.58","40.77","41.75","40.73","34.22M","1.99%"
"Jan 29, 2019","40.77","39.50","40.85","39.47","48.74M","3.14%"
"Jan 28, 2019","39.53","40.50","40.53","39.48","37.31M","-2.73%"
"Jan 25, 2019","40.64","41.10","41.25","40.51","34.03M","-0.76%"
"Jan 24, 2019","40.95","41.78","41.79","40.62","32.63M","-2.87%"
"Jan 23, 2019","42.16","41.99","42.20","41.55","23.21M","-0.26%"
"Jan 22, 2019","42.27","42.41","42.69","41.93","27.94M","-0.61%"
"Jan 18, 2019","42.53","42.86","42.88","42.26","36.64M","0.14%"
"Jan 17, 2019","42.47","41.95","42.66","41.83","22.94M","0.85%"
"Jan 16, 2019","42.11","42.59","42.79","42.03","28.62M","-1.45%"
"Jan 15, 2019","42.73","42.60","43.24","42.43","24.54M","0.85%"
"Jan 14, 2019","42.37","42.55","42.63","42.17","16.70M","-1.19%"
"Jan 11, 2019","42.88","42.33","42.88","42.15","19.99M","1.35%"
"Jan 10, 2019","42.31","43.22","43.23","42.03","37.70M","-2.38%"
"Jan 09, 2019","43.34","43.46","43.67","43.20","19.08M","-0.21%"
"Jan 08, 2019","43.43","43.56","43.70","43.15","18.67M","0.46%"
"Jan 07, 2019","43.23","43.07","43.62","42.86","19.92M","0.53%"
"Jan 04, 2019","43.00","42.44","43.34","42.26","25.75M","2.28%"
"Jan 03, 2019","42.04","43.24","43.34","41.95","27.04M","-2.80%"
"Jan 02, 2019","43.25","43.12","43.50","42.63","25.08M","-0.92%"
"Dec 31, 2018","43.65","43.21","43.73","43.10","19.48M","1.61%"
"Dec 28, 2018","42.96","43.02","43.53","42.81","24.18M","0.26%"
"Dec 27, 2018","42.85","41.81","42.85","41.26","27.41M","1.56%"
"Dec 26, 2018","42.19","40.66","42.20","40.42","24.13M","4.04%"
"Dec 24, 2018","40.55","41.81","41.96","40.52","18.76M","-3.29%"
"Dec 21, 2018","41.93","41.64","42.87","41.45","58.76M","-0.05%"
"Dec 20, 2018","41.95","41.71","42.41","41.53","32.73M","-0.05%"
"Dec 19, 2018","41.97","42.83","42.99","41.56","35.05M","-1.01%"
"Dec 18, 2018","42.40","43.47","43.50","42.04","29.53M","-1.65%"
"Dec 17, 2018","43.11","43.50","43.97","42.98","36.67M","-1.58%"
"Dec 14, 2018","43.80","44.08","44.12","43.42","31.33M","-1.73%"
"Dec 13, 2018","44.57","44.46","44.90","44.21","22.40M","0.93%"
"Dec 12, 2018","44.16","44.35","44.84","44.15","19.15M","0.34%"
"Dec 11, 2018","44.01","44.08","44.51","43.57","22.68M","-0.88%"
"Dec 10, 2018","44.40","44.14","44.56","43.07","24.85M","1.09%"
"Dec 07, 2018","43.92","44.82","44.94","43.67","26.53M","-2.36%"
"Dec 06, 2018","44.98","44.58","44.99","43.62","30.54M","-0.35%"
"Dec 04, 2018","45.14","46.23","46.47","45.11","27.23M","-1.85%"
"Dec 03, 2018","45.99","46.37","46.38","45.76","25.40M","-0.52%"
"Nov 30, 2018","46.23","45.35","46.26","45.28","42.75M","1.58%"
"Nov 29, 2018","45.51","44.76","45.83","44.70","24.73M","1.36%"
"Nov 28, 2018","44.90","44.29","44.92","44.10","18.87M","1.88%"
"Nov 27, 2018","44.07","43.20","44.15","42.97","18.75M","1.68%"
"Nov 26, 2018","43.34","43.32","43.49","42.88","19.12M","0.46%"
"Nov 23, 2018","43.14","42.95","43.55","42.80","8.39M","0.09%"
"Nov 21, 2018","43.10","43.50","43.50","42.77","18.66M","-0.99%"
"Nov 20, 2018","43.53","44.01","44.39","43.40","21.79M","-1.47%"
"Nov 19, 2018","44.18","43.62","44.27","43.51","22.46M","1.54%"
"Nov 16, 2018","43.51","43.10","43.78","42.91","23.34M","0.69%"
"Nov 15, 2018","43.21","42.70","43.38","42.34","24.61M","0.70%"
"Nov 14, 2018","42.91","43.76","43.85","42.71","26.94M","-1.40%"
"Nov 13, 2018","43.52","44.33","44.46","43.35","19.13M","-1.34%"
"Nov 12, 2018","44.11","44.28","44.55","43.90","20.73M","-0.38%"
"Nov 09, 2018","44.28","43.72","44.61","43.72","24.71M","0.98%"
"Nov 08, 2018","43.85","43.86","44.20","43.47","24.38M","-1.24%"
"Nov 07, 2018","44.40","43.38","44.56","43.29","34.91M","3.23%"
"Nov 06, 2018","43.01","43.58","43.59","42.69","21.06M","-1.17%"
"Nov 05, 2018","43.52","42.83","43.62","42.83","20.52M","1.37%"
"Nov 02, 2018","42.93","43.76","43.84","42.48","22.98M","-1.69%"
