,date,PFE stock,isPartial
0,2012-01-01,0.0,False
1,2012-01-02,0.0,False
2,2012-01-03,6.72,False
3,2012-01-04,3.36,False
4,2012-01-05,3.36,False
5,2012-01-06,10.56,False
6,2012-01-07,0.0,False
7,2012-01-08,0.0,False
8,2012-01-09,0.0,False
9,2012-01-10,0.0,False
10,2012-01-11,12.96,False
11,2012-01-12,6.5600000000000005,False
12,2012-01-13,3.36,False
13,2012-01-14,3.84,False
14,2012-01-15,0.0,False
15,2012-01-16,0.0,False
16,2012-01-17,6.24,False
17,2012-01-18,3.2,False
18,2012-01-19,3.2,False
19,2012-01-20,6.5600000000000005,False
20,2012-01-21,3.84,False
21,2012-01-22,0.0,False
22,2012-01-23,0.0,False
23,2012-01-24,3.2,False
24,2012-01-25,16.0,False
25,2012-01-26,3.2,False
26,2012-01-27,0.0,False
27,2012-01-28,3.84,False
28,2012-01-29,0.0,False
29,2012-01-30,3.2,False
30,2012-01-31,3.2,False
0,2012-02-01,17.0,False
1,2012-02-02,5.61,False
2,2012-02-03,2.89,False
3,2012-02-04,0.0,False
4,2012-02-05,3.4000000000000004,False
5,2012-02-06,5.61,False
6,2012-02-07,11.22,False
7,2012-02-08,2.89,False
8,2012-02-09,2.89,False
9,2012-02-10,2.89,False
10,2012-02-11,0.0,False
11,2012-02-12,0.0,False
12,2012-02-13,11.05,False
13,2012-02-14,0.0,False
14,2012-02-15,5.78,False
15,2012-02-16,2.89,False
16,2012-02-17,5.95,False
17,2012-02-18,6.970000000000001,False
18,2012-02-19,0.0,False
19,2012-02-20,5.95,False
20,2012-02-21,0.0,False
21,2012-02-22,5.78,False
22,2012-02-23,11.39,False
23,2012-02-24,2.89,False
24,2012-02-25,3.4000000000000004,False
25,2012-02-26,3.4000000000000004,False
26,2012-02-27,8.33,False
27,2012-02-28,0.0,False
28,2012-02-29,0.0,False
0,2012-03-01,5.2,False
1,2012-03-02,6.7,False
2,2012-03-03,0.0,False
3,2012-03-04,3.0,False
4,2012-03-05,2.6,False
5,2012-03-06,4.9,False
6,2012-03-07,4.9,False
7,2012-03-08,5.1000000000000005,False
8,2012-03-09,2.6,False
9,2012-03-10,0.0,False
10,2012-03-11,0.0,False
11,2012-03-12,2.4000000000000004,False
12,2012-03-13,2.4000000000000004,False
13,2012-03-14,3.7,False
14,2012-03-15,2.5,False
15,2012-03-16,2.6,False
16,2012-03-17,0.0,False
17,2012-03-18,0.0,False
18,2012-03-19,4.9,False
19,2012-03-20,4.9,False
20,2012-03-21,0.0,False
21,2012-03-22,5.1000000000000005,False
22,2012-03-23,2.7,False
23,2012-03-24,0.0,False
24,2012-03-25,0.0,False
25,2012-03-26,5.0,False
26,2012-03-27,2.5,False
27,2012-03-28,10.0,False
28,2012-03-29,2.5,False
29,2012-03-30,0.0,False
30,2012-03-31,3.0,False
0,2012-04-01,0.0,False
1,2012-04-02,5.28,False
2,2012-04-03,5.28,False
3,2012-04-04,5.39,False
4,2012-04-05,11.0,False
5,2012-04-06,6.16,False
6,2012-04-07,6.6,False
7,2012-04-08,0.0,False
8,2012-04-09,0.0,False
9,2012-04-10,5.39,False
10,2012-04-11,10.34,False
11,2012-04-12,10.56,False
12,2012-04-13,8.25,False
13,2012-04-14,6.2700000000000005,False
14,2012-04-15,0.0,False
15,2012-04-16,7.7,False
16,2012-04-17,5.17,False
17,2012-04-18,7.7,False
18,2012-04-19,10.45,False
19,2012-04-20,5.5,False
20,2012-04-21,0.0,False
21,2012-04-22,6.05,False
22,2012-04-23,5.06,False
23,2012-04-24,5.17,False
24,2012-04-25,5.17,False
25,2012-04-26,5.28,False
26,2012-04-27,5.5,False
27,2012-04-28,6.38,False
28,2012-04-29,6.38,False
29,2012-04-30,8.14,False
0,2012-05-01,5.72,False
1,2012-05-02,5.17,False
2,2012-05-03,0.0,False
3,2012-05-04,0.0,False
4,2012-05-05,0.0,False
5,2012-05-06,0.0,False
6,2012-05-07,5.17,False
7,2012-05-08,10.23,False
8,2012-05-09,0.0,False
9,2012-05-10,10.56,False
10,2012-05-11,11.0,False
11,2012-05-12,0.0,False
12,2012-05-13,0.0,False
13,2012-05-14,5.06,False
14,2012-05-15,5.06,False
15,2012-05-16,5.17,False
16,2012-05-17,0.0,False
17,2012-05-18,5.5,False
18,2012-05-19,0.0,False
19,2012-05-20,6.38,False
20,2012-05-21,0.0,False
21,2012-05-22,0.0,False
22,2012-05-23,5.06,False
23,2012-05-24,0.0,False
24,2012-05-25,0.0,False
25,2012-05-26,0.0,False
26,2012-05-27,6.6,False
27,2012-05-28,5.5,False
28,2012-05-29,10.12,False
29,2012-05-30,0.0,False
30,2012-05-31,5.17,False
0,2012-06-01,0.0,False
1,2012-06-02,0.0,False
2,2012-06-03,0.0,False
3,2012-06-04,3.5999999999999996,False
4,2012-06-05,0.0,False
5,2012-06-06,7.29,False
