"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2019","36.00","36.23","36.27","35.88","2.01M","-0.41%"
"Mar 05, 2019","36.15","35.88","36.15","35.60","2.22M","0.75%"
"Mar 04, 2019","35.88","35.55","36.03","35.44","2.27M","1.41%"
"Mar 01, 2019","35.38","35.23","35.49","35.13","2.09M","1.09%"
"Feb 28, 2019","35.00","34.50","35.00","34.50","4.36M","0.98%"
"Feb 27, 2019","34.66","35.02","35.15","34.62","2.33M","-0.97%"
"Feb 26, 2019","35.00","34.81","35.09","34.70","1.74M","0.14%"
"Feb 25, 2019","34.95","34.80","35.05","34.74","1.49M","0.66%"
"Feb 22, 2019","34.72","34.84","35.03","34.65","1.33M","0.00%"
"Feb 21, 2019","34.72","34.94","34.98","34.65","1.81M","-0.12%"
"Feb 20, 2019","34.76","34.89","35.02","34.66","1.85M","0.06%"
"Feb 19, 2019","34.74","34.87","34.94","34.59","1.57M","-0.32%"
"Feb 18, 2019","34.85","35.10","35.19","34.77","1.25M","-0.68%"
"Feb 15, 2019","35.09","34.77","35.30","34.60","2.53M","1.12%"
"Feb 14, 2019","34.70","34.75","35.24","34.70","2.68M","0.23%"
"Feb 13, 2019","34.62","34.41","34.78","34.31","2.08M","0.93%"
"Feb 12, 2019","34.30","34.10","34.46","34.09","2.15M","0.85%"
"Feb 11, 2019","34.01","34.08","34.08","33.76","1.85M","0.47%"
"Feb 08, 2019","33.85","33.62","33.85","33.38","2.61M","0.24%"
"Feb 07, 2019","33.77","33.71","34.01","33.69","2.99M","-0.30%"
"Feb 06, 2019","33.87","33.78","34.05","33.55","1.77M","-0.12%"
"Feb 05, 2019","33.91","33.73","34.05","33.54","3.26M","0.56%"
"Feb 04, 2019","33.72","33.80","33.98","33.45","2.61M","-0.24%"
"Feb 01, 2019","33.80","34.50","34.57","33.51","4.58M","-1.63%"
"Jan 31, 2019","34.36","33.51","34.36","33.35","5.41M","3.43%"
"Jan 30, 2019","33.22","33.08","33.30","32.66","3.27M","0.48%"
"Jan 29, 2019","33.06","33.74","33.74","32.37","5.16M","2.35%"
"Jan 28, 2019","32.30","32.40","32.60","32.20","2.85M","-0.98%"
"Jan 25, 2019","32.62","32.44","32.86","32.40","2.69M","1.56%"
"Jan 24, 2019","32.12","31.90","32.33","31.77","2.25M","0.94%"
"Jan 23, 2019","31.82","31.56","32.35","31.45","3.03M","0.73%"
"Jan 22, 2019","31.59","31.07","31.59","30.97","2.76M","1.22%"
"Jan 21, 2019","31.21","31.27","31.40","31.11","1.42M","-0.61%"
"Jan 18, 2019","31.40","31.31","31.68","31.20","3.58M","1.13%"
"Jan 17, 2019","31.05","30.85","31.14","30.74","1.81M","-0.38%"
"Jan 16, 2019","31.17","30.77","31.30","30.77","2.39M","1.30%"
"Jan 15, 2019","30.77","30.38","30.80","30.38","1.82M","1.89%"
"Jan 14, 2019","30.20","30.29","30.41","29.98","1.75M","-0.98%"
"Jan 11, 2019","30.50","30.70","30.79","30.39","2.03M","-0.59%"
"Jan 10, 2019","30.68","30.81","30.83","30.28","2.04M","-0.45%"
"Jan 09, 2019","30.82","30.43","31.01","30.39","3.18M","2.66%"
"Jan 08, 2019","30.02","29.70","30.57","29.66","2.91M","1.25%"
"Jan 07, 2019","29.65","30.20","30.27","29.36","2.39M","-1.40%"
"Jan 04, 2019","30.07","29.20","30.16","29.05","3.19M","3.33%"
"Jan 03, 2019","29.10","30.23","30.30","29.10","3.82M","-4.81%"
"Jan 02, 2019","30.57","30.50","30.77","30.03","2.38M","-1.16%"
"Dec 31, 2018","30.93","30.98","31.18","30.82","520.80K","0.75%"
"Dec 28, 2018","30.70","30.43","30.92","30.37","1.74M","1.32%"
"Dec 27, 2018","30.30","31.00","31.07","29.97","2.72M","-0.26%"
"Dec 24, 2018","30.38","30.10","30.64","30.10","612.09K","-1.33%"
"Dec 21, 2018","30.79","30.50","30.83","30.14","5.18M","-0.23%"
"Dec 20, 2018","30.86","31.12","31.32","30.75","3.48M","-3.17%"
"Dec 19, 2018","31.87","31.82","32.12","31.67","2.73M","0.73%"
"Dec 18, 2018","31.64","31.30","31.64","30.91","3.98M","-0.13%"
"Dec 17, 2018","31.68","32.48","32.48","31.41","3.26M","-2.46%"
"Dec 14, 2018","32.48","32.55","32.78","32.31","2.49M","-1.37%"
"Dec 13, 2018","32.93","33.19","33.29","32.66","2.72M","-0.30%"
"Dec 12, 2018","33.03","32.23","33.16","32.13","2.71M","3.22%"
