"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2019","31.03","30.49","31.23","30.40","13.07M","1.74%"
"Mar 04, 2019","30.50","30.78","31.26","30.07","15.92M","-0.39%"
"Mar 01, 2019","30.62","31.17","31.19","30.28","12.36M","-0.52%"
"Feb 28, 2019","30.78","30.25","30.79","30.01","15.24M","1.22%"
"Feb 27, 2019","30.41","30.95","31.00","29.90","24.64M","-1.93%"
"Feb 26, 2019","31.01","31.89","31.96","30.99","17.52M","-3.06%"
"Feb 25, 2019","31.99","31.99","32.71","31.88","15.06M","0.88%"
"Feb 22, 2019","31.71","30.81","31.73","30.81","15.41M","3.09%"
"Feb 21, 2019","30.76","31.36","31.48","30.60","13.94M","-1.94%"
"Feb 20, 2019","31.37","31.71","31.93","31.21","16.87M","-0.88%"
"Feb 19, 2019","31.65","31.23","32.11","31.15","14.39M","1.34%"
"Feb 15, 2019","31.23","31.20","31.80","30.97","17.59M","0.87%"
"Feb 14, 2019","30.96","30.86","31.28","30.60","15.32M","-0.51%"
"Feb 13, 2019","31.12","30.57","31.84","30.55","29.68M","2.40%"
"Feb 12, 2019","30.39","30.44","30.80","30.23","20.32M","0.53%"
"Feb 11, 2019","30.23","30.17","30.44","29.66","28.84M","0.73%"
"Feb 08, 2019","30.01","30.47","30.74","29.42","40.67M","-2.56%"
"Feb 07, 2019","30.80","31.17","31.73","30.31","69.76M","-9.84%"
"Feb 06, 2019","34.16","35.05","35.25","33.75","34.06M","-0.61%"
"Feb 05, 2019","34.37","34.29","34.57","33.92","17.61M","1.27%"
"Feb 04, 2019","33.94","33.34","34.18","33.24","14.24M","2.26%"
"Feb 01, 2019","33.19","33.56","34.09","32.96","18.82M","-1.10%"
"Jan 31, 2019","33.56","33.07","33.69","32.79","21.21M","4.03%"
"Jan 30, 2019","32.26","32.04","32.38","31.42","17.14M","1.96%"
"Jan 29, 2019","31.64","33.33","33.55","31.46","18.85M","-4.50%"
"Jan 28, 2019","33.13","32.65","33.20","32.12","21.75M","0.70%"
"Jan 25, 2019","32.90","31.99","33.62","31.98","22.52M","4.08%"
"Jan 24, 2019","31.61","30.94","31.73","30.91","12.47M","2.07%"
"Jan 23, 2019","30.97","32.26","32.45","30.72","21.08M","-3.97%"
"Jan 22, 2019","32.25","32.97","33.35","31.93","17.78M","-3.07%"
"Jan 18, 2019","33.27","33.05","33.89","32.77","16.78M","1.28%"
"Jan 17, 2019","32.85","32.47","33.09","32.39","12.06M","1.17%"
"Jan 16, 2019","32.47","33.10","33.30","32.44","10.13M","-1.67%"
"Jan 15, 2019","33.02","32.51","33.35","32.45","13.55M","2.01%"
"Jan 14, 2019","32.37","32.38","32.75","32.12","9.52M","-1.52%"
